Motif	JASPAR	HOCOMOCO	HOMER	POUR	JOLMA	GUERTIN	ZLAB	TF2DNA	SWISSREGULON	CIS-BP
gata3	0.0075	1.9975	1.705	0.0275	3.2975	0.735	1.005	0.0675	1.1025	0.2875
hnf4a	16.045	20.795	14.06	19.725	17.5	15.61	20.785	8.235	14.49	15.875
pou2f2	81.82	85.415	77.62	82.46	85.06	0.0	81.435	13.68	63.37	81.82
yy1	36.328	39.905	38.508	28.278	42.102	41.013	43.582	0.004	34.366	36.328
nrf1	44.742	42.13	44.364	39.502	39.25	44.392	37.97	0.0	42.794	46.266
ctcf	102.941	103.418	101.255	75.781	80.526	102.635	117.013	0.049	95.921	99.283
cebpb	177.243	195.817	166.513	135.477	191.312	169.133	185.36	0.048	99.381	177.243
mef2a	43.86	27.795	50.165	45.185	31.965	44.765	45.995	7.78	32.915	43.86
esrra	0.0	0.0	0.01	2.73	0.03	0.0	0.0	1.09	0.0	0.0
prdm1	72.27	75.63	83.02	90.64	67.71	82.0	84.3	6.28	84.12	72.27
pax5	75.1175	64.27	58.295	65.2925	73.1925	2.605	76.34	0.0	13.4025	66.0
elf1	39.8275	44.8425	43.2125	45.6625	42.0475	46.935	41.075	32.055	32.305	39.8275
