Motif	JASPAR	HOCOMOCO	HOMER	POUR	JOLMA	GUERTIN	ZLAB	TF2DNA	SWISSREGULON	CIS-BP
gata3	0.596	0.758	0.541	0.612	0.682	0.594	0.585	0.451	0.616	0.580
egr1	0.888	0.938	0.909	0.831	0.916	0.852	0.507	0.791	0.912	0.540
hnf4a	0.852	0.928	0.758	0.911	0.603	0.741	0.896	0.722	0.826	0.823
pou2f2	0.799	0.794	0.812	0.790	0.801	0.499	0.836	0.542	0.753	0.799
yy1	0.879	0.889	0.859	0.502	0.883	0.891	0.851	0.500	0.712	0.879
ctcf	0.650	0.635	0.579	0.505	0.662	0.875	0.931	0.451	0.594	0.535
cebpb	0.918	0.917	0.846	0.727	0.897	0.602	0.927	0.461	0.764	0.918
mef2a	0.843	0.793	0.837	0.855	0.777	0.774	0.859	0.560	0.772	0.843
esrra	0.835	0.847	0.856	0.538	0.823	0.777	0.864	0.736	0.708	0.541
prdm1	0.904	0.888	0.925	0.818	0.848	0.953	0.937	0.644	0.917	0.904
pax5	0.516	0.506	0.589	0.508	0.521	0.506	0.586	0.448	0.502	0.643
elf1	0.903	0.922	0.941	0.912	0.895	0.927	0.936	0.829	0.840	0.903
