Motif	JASPAR	HOCOMOCO	HOMER	POUR	JOLMA	GUERTIN	ZLAB	TF2DNA	SWISSREGULON	CIS-BP
gata3	1.230	1.464	1.237	1.274	1.344	1.268	1.355	0.900	1.200	1.327
egr1	1.808	1.889	1.820	1.741	1.898	1.833	1.865	1.572	1.865	1.869
hnf4a	1.897	1.892	1.893	1.858	1.632	1.896	1.897	1.449	1.787	1.884
pou2f2	1.716	1.671	1.708	1.664	1.696	1.016	1.752	1.003	1.612	1.716
yy1	1.819	1.832	1.801	1.812	1.794	1.835	1.847	1.045	1.356	1.819
ctcf	1.964	1.969	1.956	1.928	1.890	1.947	1.955	0.902	1.924	1.958
cebpb	1.829	1.823	1.730	1.578	1.808	1.876	1.883	0.949	1.572	1.829
mef2a	1.837	1.713	1.639	1.828	1.679	1.854	1.844	1.009	1.569	1.837
esrra	1.713	1.718	1.713	1.337	1.716	1.657	1.747	1.540	1.604	1.279
prdm1	1.909	1.884	1.835	1.725	1.894	1.909	1.929	1.200	1.886	1.909
pax5	1.762	1.745	1.699	1.724	1.741	1.118	1.736	0.925	1.384	1.723
elf1	1.845	1.868	1.904	1.846	1.855	1.879	1.896	1.663	1.710	1.845
