Motif	JASPAR	HOCOMOCO	HOMER	POUR	JOLMA	GUERTIN	ZLAB	TF2DNA	SWISSREGULON	CIS-BP
gata3	0.631	0.740	0.614	0.670	0.682	0.595	0.648	0.473	0.602	0.642
egr1	0.896	0.926	0.893	0.893	0.937	0.913	0.911	0.778	0.931	0.913
hnf4a	0.943	0.936	0.944	0.918	0.913	0.943	0.932	0.694	0.880	0.944
pou2f2	0.815	0.799	0.813	0.787	0.801	0.502	0.819	0.533	0.800	0.815
yy1	0.884	0.891	0.886	0.886	0.878	0.893	0.900	0.553	0.711	0.884
ctcf	0.982	0.980	0.977	0.970	0.973	0.975	0.971	0.441	0.976	0.981
cebpb	0.895	0.889	0.834	0.840	0.867	0.929	0.931	0.498	0.792	0.895
mef2a	0.902	0.868	0.839	0.904	0.851	0.911	0.904	0.589	0.774	0.902
esrra	0.822	0.831	0.848	0.687	0.830	0.822	0.832	0.789	0.817	0.695
prdm1	0.952	0.943	0.918	0.940	0.942	0.957	0.959	0.655	0.949	0.952
pax5	0.850	0.851	0.811	0.835	0.842	0.681	0.846	0.461	0.694	0.830
elf1	0.882	0.919	0.929	0.898	0.908	0.922	0.931	0.827	0.810	0.882
