Motif	JASPAR	HOCOMOCO	HOMER	POUR	JOLMA	GUERTIN	ZLAB	TF2DNA	SWISSREGULON	CIS-BP
gata3	1.231	1.464	1.255	1.274	1.346	1.275	1.373	0.901	1.201	1.349
egr1	1.809	1.888	1.818	1.755	1.895	1.833	1.865	1.569		
hnf4a	1.898	1.893	1.894	1.859	1.634	1.897	1.897	1.447	1.787	1.884
pou2f2	1.715	1.666	1.704	1.662	1.695	0.995	1.752	1.002	1.612	1.715
yy1	1.818	1.830	1.795	1.811	1.793	1.834	1.848	1.045	1.374	1.818
ctcf	1.963	1.968	1.954	1.928	1.891	1.946	1.954	0.898	1.921	1.958
cebpb	1.829	1.822	1.729	1.580	1.807	1.876	1.883	0.954	1.570	1.829
mef2a	1.837	1.714	1.639	1.828	1.674	1.854	1.844	1.009	1.570	1.837
esrra	1.712	1.717	1.712	1.343	1.712	1.658	1.747	1.538	1.607	1.297
prdm1	1.909	1.881	1.836	1.730	1.891	1.910	1.929	1.198	1.882	1.909
pax5	1.760	1.745	1.698	1.723	1.742	1.125	1.736	0.924	1.384	1.723
elf1	1.843	1.868	1.904	1.847	1.851	1.879	1.896	1.666	1.706	1.843
