Motif	JASPAR	HOCOMOCO	HOMER	POUR	JOLMA	GUERTIN	ZLAB	TF2DNA	SWISSREGULON	CIS-BP
gata3	0.598	0.753	0.586	0.611	0.683	0.596	0.623	0.468	0.576	0.604
egr1	0.898	0.937	0.905	0.830	0.931	0.912	0.635	0.787	0.912	0.839
hnf4a	0.940	0.939	0.929	0.917	0.714	0.934	0.942	0.705	0.897	0.929
pou2f2	0.813	0.794	0.813	0.790	0.807	0.500	0.830	0.539	0.742	0.813
yy1	0.886	0.894	0.873	0.563	0.882	0.897	0.897	0.508	0.711	0.886
ctcf	0.981	0.984	0.974	0.952	0.925	0.971	0.974	0.443	0.950	0.975
cebpb	0.917	0.914	0.842	0.726	0.894	0.933	0.937	0.465	0.780	0.917
mef2a	0.894	0.814	0.842	0.894	0.805	0.905	0.905	0.589	0.777	0.894
esrra	0.832	0.834	0.841	0.649	0.819	0.777	0.851	0.732	0.739	0.627
prdm1	0.953	0.937	0.927	0.818	0.938	0.956	0.965	0.650	0.934	0.953
pax5	0.677	0.633	0.787	0.622	0.660	0.514	0.839	0.456	0.541	0.841
elf1	0.909	0.921	0.938	0.910	0.899	0.925	0.936	0.825	0.811	0.909
