Motif	JASPAR	HOCOMOCO	HOMER	POUR	JOLMA	GUERTIN	ZLAB	TF2DNA	SWISSREGULON	CIS-BP
gata3	1.240	1.451	1.234	1.261	1.352	1.267	1.355	0.945	1.113	1.325
egr1	1.807	1.882	1.797	1.733	1.894	1.831	1.865	1.526	1.864	1.868
hnf4a	1.891	1.883	1.888	1.850	1.627	1.890	1.889	1.383	1.777	1.879
pou2f2	1.719	1.669	1.716	1.633	1.699	1.015	1.753	1.002	1.615	1.719
yy1	1.817	1.829	1.797	1.811	1.791	1.833	1.846	1.063	1.326	1.817
ctcf	1.963	1.968	1.954	1.928	1.888	1.946	1.954	0.906	1.922	1.958
cebpb	1.821	1.806	1.719	1.572	1.799	1.871	1.881	0.969	1.564	1.821
mef2a	1.835	1.715	1.656	1.829	1.678	1.853	1.843	1.082	1.577	1.835
esrra	1.703	1.681	1.672	1.325	1.706	1.654	1.722	1.501	1.600	1.268
prdm1	1.910	1.882	1.834	1.720	1.893	1.905	1.928	1.207	1.884	1.910
pax5	1.758	1.740	1.692	1.718	1.735	1.112	1.734	0.941	1.383	1.715
elf1	1.839	1.860	1.897	1.838	1.851	1.871	1.890	1.612	1.550	1.839
