Motif	SydhHepg2CebpbForskln-100	SydhH1hescCebpbIggrab-100	SydhImr90CebpbIggrab-100	HaibGm12878Cebpbsc150V0422111-100	SydhA549CebpbIggrab-100	SydhHepg2CebpbIggrab-100	HaibK562Cebpbsc150V0422111-100	SydhK562CebpbIggrab-100	SydhHelas3CebpbIggrab-100	HaibHepg2Cebpbsc150V0416101-100	Average
CEBPB_f1.HOCOMOCO	234.41	190.74	233.83	7.7	185.94	221.72	199.41	363.6	75.59	245.23	195.817
CEBPB_DBD.JOLMA	220.23	185.97	233.31	8.72	183.6	225.98	185.04	355.49	72.49	242.29	191.312
CEBPB_full.JOLMA	218.63	178.13	219.48	12.0	186.84	212.64	183.67	354.38	79.66	224.54	186.997
CEBPB.1_1.ZLAB	222.14	171.8	220.23	9.28	177.17	219.32	181.59	352.48	77.92	221.67	185.36
Cebpb_DBD.JOLMA	213.7	176.91	222.67	9.82	188.38	207.69	186.14	346.35	77.17	224.66	185.349
MA0466.1.JASPAR	202.18	170.55	210.5	10.52	168.62	210.46	169.45	338.77	77.5	213.88	177.243
M2268_1.02.CIS-BP	202.18	170.55	210.5	10.52	168.62	210.46	169.45	338.77	77.5	213.88	177.243
CEBPB_1.GUERTIN	202.62	157.19	210.56	9.41	161.45	202.9	160.91	317.58	70.05	198.66	169.133
CEBP.HOMER	209.72	157.46	189.82	6.2	154.54	212.48	154.84	305.97	62.75	211.35	166.513
CEBPB_disc1.POUR	158.7	134.01	151.79	6.7	136.76	158.87	130.13	240.35	62.55	174.91	135.477
CEBPB_18.3DFOOTPRINT	144.04	129.85	126.43	0.57	126.26	164.45	123.24	202.57	63.13	177.1	125.764
CEBPB_4.3DFOOTPRINT	130.02	130.99	116.55	1.63	117.64	139.65	115.41	195.68	49.56	156.09	115.322
CEBPB_19.3DFOOTPRINT	124.28	117.32	131.72	0.2	119.26	152.55	110.2	172.29	60.39	155.51	114.372
CEBPB_17.3DFOOTPRINT	156.72	131.34	119.78	-0.0	109.41	105.86	97.27	194.61	45.08	135.18	109.525
CEBPB.SWISSREGULON	118.64	93.07	117.4	0.72	97.94	103.23	93.19	205.7	37.98	125.94	99.381
CEBPB_6.3DFOOTPRINT	71.32	72.51	65.96	0.0	51.88	72.17	42.4	105.35	22.34	104.07	60.8
CEBPB_5.3DFOOTPRINT	37.03	18.04	23.44	-0.0	18.08	22.66	22.6	46.25	7.06	27.72	22.288
CEBPB_20.3DFOOTPRINT	37.03	18.04	23.44	-0.0	18.08	22.66	22.6	46.25	7.06	27.72	22.288
CEBPB_16.3DFOOTPRINT	0.0	0.0	0.0	0.0	7.73	-0.0	0.0	0.0	0.03	-0.0	0.776
CEBPB_7.3DFOOTPRINT	2.37	0.11	0.05	-0.0	-0.0	0.04	0.0	2.62	-0.0	1.03	0.622
CEBPB_3.3DFOOTPRINT	0.06	0.1	-0.0	0.01	-0.0	0.0	0.0	0.0	-0.0	0.51	0.068
Cebpb.TF2DNA	0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	0.48	0.0	0.048
CEBPB_13.3DFOOTPRINT	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.42	0.042
CEBPB_12.3DFOOTPRINT	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.14	-0.0	-0.0	-0.0	0.014
CEBPB_11.3DFOOTPRINT	0.11	0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	0.011
CEBPB.1_3.ZLAB	-0.0	-0.0	-0.0	-0.0	0.08	-0.0	0	-0.0	-0.0	-0.0	0.008
CEBPB_2.3DFOOTPRINT	0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	0.04	0.004
CEBPB_9.3DFOOTPRINT	-0.0	0.0	0.04	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	0.004
CEBPB_8.3DFOOTPRINT	-0.0	-0.0	0.01	-0.0	0.0	0.0	0.0	-0.0	0	0.0	0.001
CEBPB.1_5.ZLAB	-0.0	0.0	-0.0	0.0	0.01	-0.0	-0.0	-0.0	-0.0	-0.0	0.001
CEBPB_disc2.POUR	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0
CPEB1_full.JOLMA	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0
CEBPB_10.3DFOOTPRINT	-0.0	-0.0	0	-0.0	0.0	-0.0	-0.0	-0.0	0	-0.0	0.0
CEBPB_14.3DFOOTPRINT	-0.0	-0.0	0	0	0	0	0	-0.0	0	0.0	0.0
CEBPB_15.3DFOOTPRINT	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0
CEBPB_2.GUERTIN	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0
CEBPB_3.GUERTIN	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0
CEBPB_4.GUERTIN	0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0
CEBPB.1_2.ZLAB	0	-0.0	0	0	-0.0	0	0	0	0	0	0.0
CEBPB.1_4.ZLAB	-0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0
