Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc
MA0139.1.JASPAR	16.851398	0.936189	18	0.982000	0.926000	0.754000	0.902000
CTCF.CHEN2008	17.525596	0.973644	18	0.981000	0.917000	0.382000	0.899000
CTCF_f2.HOCOMOCO	15.386000	0.854778	18	0.980000	0.931000	0.245000	0.903000
CTCF.HOMER	18.850878	0.992151	19	0.977000	0.844000	0.247000	0.802000
CTCF-SatelliteElement.HOMER	17.422267	0.916961	19	0.716000	0.541000	0.741000	0.532000
CTCF_disc1.POUR	17.151684	0.816747	21	0.970000	0.596000	0.754000	0.576000
CTCF_disc2.POUR	17.504210	1.750421	10	0.826000	0.661000	0.673000	0.645000
CTCF_disc3.POUR	13.247292	1.655911	8	0.653000	0.563000	0.674000	0.562000
CTCF_disc4.POUR	12.921314	0.993947	13	0.746000	0.689000	0.754000	0.684000
CTCF_disc5.POUR	9.497248	0.730558	13	0.892000	0.855000	0.246000	0.854000
CTCF_disc6.POUR	11.614121	1.659160	7	0.685000	0.631000	0.260000	0.622000
CTCF_disc7.POUR	7.100380	0.788931	9	0.753000	0.783000	0.251000	0.784000
CTCF_disc8.POUR	8.378724	0.644517	13	0.795000	0.795000	0.245000	0.794000
CTCF_disc9.POUR	9.981621	0.665441	15	0.860000	0.798000	0.246000	0.793000
CTCF_disc10.POUR	13.203164	1.650396	8	0.722000	0.663000	0.257000	0.663000
CTCF_full.JOLMA	20.145263	1.259079	16	0.973000	0.862000	0.750000	0.850000
CTCF_1.GUERTIN	13.712743	0.914183	15	0.975000	0.967000	0.351000	0.965000
CTCF_2.GUERTIN	12.415838	1.128713	11	0.304000	0.360000	0.340000	0.367000
CTCF_3.GUERTIN	26.430396	1.762026	15	0.404000	0.494000	0.751000	0.498000
CTCF_4.GUERTIN	15.042013	0.791685	19	0.576000	0.487000	0.755000	0.489000
CTCF.1_1.ZLAB	15.071188	1.076513	14	0.971000	0.972000	0.245000	0.971000
CTCF.1_2.ZLAB	12.919524	1.291952	10	0.652000	0.656000	0.749000	0.654000
CTCF.1_3.ZLAB	8.909995	1.272856	7	0.594000	0.539000	0.418000	0.538000
CTCF.1_4.ZLAB	39.920800	1.535415	26	0.492000	0.500000	0.731000	0.500000
CTCF.1_5.ZLAB	26.288489	1.314424	20	0.901000	0.518000	0.246000	0.516000
CTCF-ext.2_1.ZLAB	13.653036	1.137753	12	0.954000	0.960000	0.726000	0.961000
CTCF-ext.2_2.ZLAB	11.925914	0.851851	14	0.708000	0.710000	0.246000	0.693000
CTCF-ext.2_3.ZLAB	29.625929	1.058069	28	0.478000	0.500000	0.252000	0.500000
CTCF-ext.2_4.ZLAB	14.743963	1.053140	14	0.942000	0.872000	0.258000	0.870000
CTCF-ext.2_5.ZLAB	13.490179	0.963584	14	0.453000	0.461000	0.328000	0.462000
Ctcf.TF2DNA	9.353593	1.169199	8	0.441000	0.448000	0.248000	0.451000
CTCF.SWISSREGULON	20.143813	1.060201	19	0.976000	0.817000	0.728000	0.780000
M4427_1.02.CIS-BP	16.988525	0.849426	20	0.981000	0.794000	0.743000	0.755000
