Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc
MA0162.2.JASPAR	13.670813	1.051601	13	0.896000	0.900000	0.739000	0.898000
EGR1_f2.HOCOMOCO	12.973534	1.297353	10	0.926000	0.938000	0.249000	0.938000
Egr1.HOMER	12.522418	1.391380	9	0.893000	0.909000	0.246000	0.909000
EGR1_disc1.POUR	16.253257	1.805917	9	0.893000	0.838000	0.500000	0.831000
EGR1_disc2.POUR	12.404471	1.378275	9	0.581000	0.566000	0.247000	0.563000
EGR1_disc3.POUR	13.539944	1.504438	9	0.751000	0.710000	0.261000	0.703000
EGR1_disc4.POUR	29.247285	1.218637	24	0.507000	0.503000	0.691000	0.502000
EGR1_disc5.POUR	10.375668	1.482238	7	0.769000	0.773000	0.249000	0.774000
EGR1_disc6.POUR	7.414593	0.741459	10	0.758000	0.788000	0.250000	0.788000
EGR1_disc7.POUR	13.396007	1.488445	9	0.812000	0.730000	0.326000	0.716000
EGR1_DBD.JOLMA	15.876846	1.221296	13	0.937000	0.934000	0.752000	0.932000
EGR1_full.JOLMA	19.489658	1.499204	13	0.925000	0.862000	0.247000	0.859000
Egr1_mouse_DBD_mutant_DBD.JOLMA	18.165413	1.211028	15	0.887000	0.836000	0.248000	0.823000
UP00007_1.UNIPROBE	14.027674	1.079052	13	0.916000	0.925000	0.246000	0.925000
UP00007_2.UNIPROBE	9.457575	0.630505	15	0.619000	0.538000	0.274000	0.522000
UP00007.1.ZHAO2011	14.475177	0.851481	17	0.705000	0.527000	0.695000	0.520000
UP00007.2.ZHAO2011	15.349149	0.902891	17	0.724000	0.526000	0.692000	0.522000
UP00400.1.ZHAO2011	3.826546	0.425172	9	0.499000	0.395000	0.751000	0.395000
UP00400.2.ZHAO2011	6.027948	0.669772	9	0.908000	0.901000	0.251000	0.901000
EGR1_1.3DFOOTPRINT	16.250000	1.805556	9	0.855000	0.703000	0.249000	0.686000
EGR1_2.3DFOOTPRINT	15.202047	1.900256	8	0.812000	0.695000	0.270000	0.672000
EGR1_3.3DFOOTPRINT	13.336498	1.667062	8	0.779000	0.654000	0.260000	0.638000
EGR1_1.GUERTIN	12.792505	0.852834	15	0.913000	0.913000	0.749000	0.913000
EGR1_2.GUERTIN	23.250564	1.223714	19	0.419000	0.499000	0.526000	0.499000
EGR1_3.GUERTIN	10.329926	0.688662	15	0.299000	0.367000	0.753000	0.389000
EGR1_4.GUERTIN	27.261338	1.434807	19	0.644000	0.502000	0.667000	0.502000
EGR1.1_1.ZLAB	16.959548	0.807598	21	0.911000	0.649000	0.248000	0.621000
EGR1.1_2.ZLAB	11.973215	0.855230	14	0.488000	0.455000	0.669000	0.455000
EGR1.1_3.ZLAB	21.440999	1.128474	19	0.652000	0.508000	0.253000	0.506000
EGR1.1_4.ZLAB	16.412984	1.172356	14	0.463000	0.518000	0.481000	0.520000
EGR1.1_5.ZLAB	17.419998	1.244286	14	0.769000	0.651000	0.249000	0.635000
Egr1.TF2DNA	10.231428	1.461633	7	0.778000	0.791000	0.248000	0.791000
EGR1.SWISSREGULON	17.044926	1.549539	11	0.931000	0.915000	0.751000	0.913000
M4459_1.02.CIS-BP	16.534271	0.870225	19	0.913000	0.847000	0.247000	0.787000
