Motif	HaibK562Elf1sc631V0416102-100	HaibA549Elf1V0422111Etoh02-100	HaibGm12878Elf1sc631V0416101-100	HaibHepg2Elf1sc631V0416101-100	Average
ELF1_1.GUERTIN	77.55	18.94	21.28	69.97	46.935
ELF1_disc1.POUR	82.89	18.79	10.01	70.96	45.6625
ELF1_f1.HOCOMOCO	78.59	18.74	22.47	59.57	44.8425
ELF1.HOMER	70.75	21.73	13.95	66.42	43.2125
ELF1_DBD.JOLMA	72.53	18.52	17.09	60.05	42.0475
ELF1.1_1.ZLAB	67.58	20.58	13.21	62.93	41.075
MA0473.1.JASPAR	68.42	16.66	19.64	54.59	39.8275
M2275_1.02.CIS-BP	68.42	16.66	19.64	54.59	39.8275
h-ELF1.WEIHUMAN	65.59	22.09	10.34	57.28	38.825
h-ELF1.WEIMOUSE	64.46	18.15	12.28	59.62	38.6275
ELF1_full.JOLMA	68.43	11.51	14.03	60.45	38.605
ELF1_disc2.POUR	58.89	10.46	14.4	60.36	36.0275
ELF1.1_2.ZLAB	61.58	19.32	4.77	57.76	35.8575
ELF1.SWISSREGULON	58.56	15.51	5.52	49.63	32.305
Elf1.TF2DNA	57.9	11.41	7.09	51.82	32.055
ELF1_2.GUERTIN	0.24	0.42	0.02	4.44	1.28
ELF1_disc3.POUR	-0.0	-0.0	-0.0	-0.0	0.0
ELF1_3.GUERTIN	-0.0	-0.0	-0.0	-0.0	0.0
ELF1_4.GUERTIN	0.0	-0.0	-0.0	-0.0	0.0
ELF1.1_3.ZLAB	-0.0	-0.0	-0.0	0.0	0.0
ELF1.1_4.ZLAB	-0.0	-0.0	0.0	-0.0	0.0
ELF1.1_5.ZLAB	0.0	0.0	-0.0	-0.0	0.0
