Motif	SydhHepg2ErraForskln-100	HaibT47dEraaV0416102Bpa1h-100	HaibEcc1EraaV0416102Bpa1h-100	Average
M4438_1.02.CIS-BP	-0.0	46.8	51.73	32.8433333333
ESRRA_disc1.POUR	-0.0	44.86	47.7	30.8533333333
ESRRA_disc3.POUR	2.73	11.34	19.45	11.1733333333
ERR1_f1.HOCOMOCO	0.0	16.16	15.42	10.5266666667
Esrra.TF2DNA	1.09	12.21	17.23	10.1766666667
MA0592.1.JASPAR	-0.0	18.31	6.06	8.12333333333
ESRRA.1_1.ZLAB	-0.0	14.44	9.51	7.98333333333
ESRRA_DBD_4.JOLMA	-0.0	11.61	9.68	7.09666666667
ESRRA_disc2.POUR	-0.0	13.14	1.77	4.97
Erra.HOMER	0.01	8.44	6.33	4.92666666667
ESRRA.SWISSREGULON	-0.0	4.95	8.4	4.45
ESRRA_DBD_1.JOLMA	-0.0	5.28	5.76	3.68
ERRA_1.GUERTIN	-0.0	2.44	5.88	2.77333333333
UP00079_1.UNIPROBE	-0.0	3.81	0.55	1.45333333333
ESRRA.1_3.ZLAB	0.0	0.03	3.74	1.25666666667
UP00079_2.UNIPROBE	0.0	0.0	3.16	1.05333333333
Esrra_DBD_2.JOLMA	0.03	0.4	0.0	0.143333333333
ESRRA_disc4.POUR	0.0	-0.0	-0.0	0.0
ESRRA_DBD_2.JOLMA	-0.0	-0.0	-0.0	0.0
ESRRA_DBD_3.JOLMA	0.0	0.0	-0.0	0.0
ESRRA_DBD_5.JOLMA	-0.0	-0.0	-0.0	0.0
ESRRA_DBD_6.JOLMA	0.0	0.0	0.0	0.0
Esrra_DBD_1.JOLMA	0.0	-0.0	0.0	0.0
UP00079.1.ZHAO2011	-0.0	-0.0	0.0	0.0
UP00079.2.ZHAO2011	-0.0	-0.0	-0.0	0.0
ERRA_2.GUERTIN	-0.0	-0.0	-0.0	0.0
ERRA_3.GUERTIN	-0.0	-0.0	-0.0	0.0
ERRA_4.GUERTIN	-0.0	-0.0	-0.0	0.0
ESRRA.1_2.ZLAB	-0.0	0.0	0	0.0
ESRRA.1_4.ZLAB	0	0	0	0.0
ESRRA.1_5.ZLAB	-0.0	-0.0	-0.0	0.0
