Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc
MA0114.2.JASPAR	13.594652	0.971047	14	0.943000	0.946000	0.584000	0.943000
HNF4A_f1.HOCOMOCO	11.038071	0.919839	12	0.936000	0.945000	0.419000	0.944000
HNF4a.HOMER	13.555937	0.903729	15	0.944000	0.938000	0.384000	0.921000
HNF4_disc1.POUR	11.983086	0.998591	12	0.918000	0.923000	0.401000	0.922000
HNF4_disc2.POUR	12.974968	1.621871	8	0.719000	0.598000	0.388000	0.597000
HNF4_disc3.POUR	13.386143	1.673268	8	0.746000	0.658000	0.480000	0.651000
HNF4_disc4.POUR	13.064848	1.633106	8	0.558000	0.535000	0.384000	0.537000
HNF4_disc5.POUR	13.476305	1.684538	8	0.653000	0.604000	0.615000	0.577000
HNF4A_DBD_1.JOLMA	20.108220	1.340548	15	0.913000	0.710000	0.384000	0.692000
HNF4A_DBD_2.JOLMA	19.586791	1.305786	15	0.904000	0.716000	0.614000	0.695000
HNF4A_full_1.JOLMA	20.991326	1.399422	15	0.918000	0.762000	0.393000	0.731000
HNF4A_full_2.JOLMA	21.289524	1.637656	13	0.881000	0.738000	0.614000	0.712000
HNF4A_full_3.JOLMA	20.773926	1.384928	15	0.912000	0.739000	0.461000	0.723000
HNF4A_full_4.JOLMA	20.469538	1.462110	14	0.892000	0.758000	0.616000	0.741000
Hnf4a_DBD.JOLMA	21.275946	1.418396	15	0.904000	0.730000	0.610000	0.723000
hnf4.MacIsaac	9.488705	1.355529	7	0.657000	0.704000	0.614000	0.705000
hnf4_1.MacIsaac	11.211566	0.862428	13	0.537000	0.538000	0.385000	0.536000
hnf4_2.MacIsaac	14.049867	1.003562	14	0.523000	0.503000	0.392000	0.503000
hnf4_3.MacIsaac	17.623317	1.258808	14	0.610000	0.551000	0.605000	0.540000
hnf4_4.MacIsaac	15.120919	1.374629	11	0.569000	0.562000	0.611000	0.561000
hnf4_5.MacIsaac	13.201769	1.320177	10	0.719000	0.720000	0.387000	0.724000
hnf4_6.MacIsaac	15.229971	1.015331	15	0.528000	0.512000	0.386000	0.499000
hnf4_7.MacIsaac	18.867573	1.451352	13	0.817000	0.749000	0.607000	0.734000
UP00066_1.UNIPROBE	12.442590	0.777662	16	0.650000	0.595000	0.603000	0.560000
UP00066_2.UNIPROBE	14.032859	0.935524	15	0.835000	0.790000	0.384000	0.762000
UP00066.1.ZHAO2011	19.990326	1.052122	19	0.408000	0.499000	0.386000	0.499000
UP00066.2.ZHAO2011	13.391269	0.743959	18	0.488000	0.494000	0.384000	0.499000
Hnf4a_1.3DFOOTPRINT	4.955005	1.238751	4	0.520000	0.604000	0.596000	0.608000
Hnf4a_2.3DFOOTPRINT	14.821897	1.347445	11	0.737000	0.704000	0.384000	0.707000
Hnf4a_3.3DFOOTPRINT	10.133151	1.013315	10	0.589000	0.566000	0.611000	0.565000
Hnf4a_4.3DFOOTPRINT	3.975915	0.993979	4	0.575000	0.662000	0.614000	0.666000
Hnf4a_5.3DFOOTPRINT	15.033036	1.366640	11	0.713000	0.597000	0.613000	0.590000
HNF4A_1.GUERTIN	12.178543	0.811903	15	0.943000	0.941000	0.385000	0.930000
HNF4A_2.GUERTIN	15.363877	1.024258	15	0.396000	0.435000	0.388000	0.446000
HNF4A_3.GUERTIN	23.163208	1.544214	15	0.594000	0.517000	0.614000	0.513000
HNF4A_4.GUERTIN	12.706169	0.668746	19	0.559000	0.510000	0.616000	0.504000
HNF4.1_1.ZLAB	12.463622	0.958740	13	0.932000	0.946000	0.615000	0.945000
HNF4.1_2.ZLAB	11.374301	1.624900	7	0.548000	0.580000	0.500000	0.583000
HNF4.1_3.ZLAB	11.036943	1.103694	10	0.773000	0.792000	0.412000	0.791000
HNF4.1_4.ZLAB	12.689349	1.268935	10	0.502000	0.500000	0.385000	0.503000
HNF4.1_5.ZLAB	13.083259	1.308326	10	0.531000	0.534000	0.608000	0.537000
Hnf4a.TF2DNA	8.738937	1.248420	7	0.694000	0.721000	0.388000	0.722000
HNF4A.SWISSREGULON	11.532266	0.887097	13	0.880000	0.901000	0.603000	0.902000
M4698_1.02.CIS-BP	13.573942	0.969567	14	0.944000	0.934000	0.615000	0.932000
