Motif	SydhHepg2Hnf4aForskln-100	HaibHepg2Hnf4asc8987V0416101-100	Average
HNF4A_f1.HOCOMOCO	14.22	27.37	20.795
HNF4.1_1.ZLAB	15.07	26.5	20.785
HNF4_disc1.POUR	14.0	25.45	19.725
HNF4A_full_1.JOLMA	12.84	22.16	17.5
MA0114.2.JASPAR	10.95	21.14	16.045
UP00066_2.UNIPROBE	5.53	26.27	15.9
M4698_1.02.CIS-BP	9.61	22.14	15.875
HNF4A_1.GUERTIN	11.1	20.12	15.61
HNF4A.SWISSREGULON	9.08	19.9	14.49
Hnf4a_DBD.JOLMA	12.8	15.9	14.35
HNF4A_full_3.JOLMA	11.6	16.95	14.275
HNF4a.HOMER	8.78	19.34	14.06
HNF4A_full_4.JOLMA	7.26	19.48	13.37
HNF4A_DBD_1.JOLMA	3.32	19.18	11.25
HNF4A_DBD_2.JOLMA	7.84	13.51	10.675
HNF4_disc3.POUR	6.49	12.49	9.49
HNF4A_full_2.JOLMA	8.91	9.18	9.045
Hnf4a.TF2DNA	4.03	12.44	8.235
Hnf4a_1.3DFOOTPRINT	8.22	6.81	7.515
HNF4.1_3.ZLAB	8.75	5.93	7.34
hnf4_7.MacIsaac	4.32	5.19	4.755
Hnf4a_2.3DFOOTPRINT	2.82	3.11	2.965
HNF4_disc5.POUR	0.0	5.25	2.625
hnf4_5.MacIsaac	0.81	0.55	0.68
HNF4_disc2.POUR	0.23	0.91	0.57
UP00066.2.ZHAO2011	0.01	-0.0	0.005
HNF4.1_4.ZLAB	-0.0	0.01	0.005
HNF4_disc4.POUR	-0.0	0.0	0.0
hnf4.MacIsaac	0.0	0.0	0.0
hnf4_1.MacIsaac	-0.0	-0.0	0.0
hnf4_2.MacIsaac	-0.0	-0.0	0.0
hnf4_3.MacIsaac	-0.0	-0.0	0.0
hnf4_4.MacIsaac	-0.0	-0.0	0.0
hnf4_6.MacIsaac	-0.0	0.0	0.0
UP00066_1.UNIPROBE	-0.0	-0.0	0.0
UP00066.1.ZHAO2011	-0.0	0.0	0.0
Hnf4a_3.3DFOOTPRINT	-0.0	-0.0	0.0
Hnf4a_4.3DFOOTPRINT	0.0	-0.0	0.0
Hnf4a_5.3DFOOTPRINT	-0.0	0.0	0.0
HNF4A_2.GUERTIN	-0.0	0.0	0.0
HNF4A_3.GUERTIN	-0.0	-0.0	0.0
HNF4A_4.GUERTIN	-0.0	-0.0	0.0
HNF4.1_2.ZLAB	-0.0	0.0	0.0
HNF4.1_5.ZLAB	-0.0	-0.0	0.0
