Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc
MA0496.1.JASPAR	13.586347	0.970453	14	0.966000	0.950000	0.439000	0.951000
MAFK_si.HOCOMOCO	15.601721	1.733525	9	0.868000	0.785000	0.528000	0.784000
MafK.HOMER	11.032398	1.002945	11	0.906000	0.903000	0.437000	0.904000
MAFK_DBD_1.JOLMA	11.449495	1.040863	11	0.951000	0.957000	0.437000	0.958000
MAFK_DBD_2.JOLMA	12.622303	0.631115	20	0.952000	0.780000	0.437000	0.750000
MAFK_full_1.JOLMA	11.088858	1.008078	11	0.950000	0.956000	0.437000	0.956000
MAFK_full_2.JOLMA	13.511280	0.965091	14	0.941000	0.931000	0.447000	0.928000
UP00044_1.UNIPROBE	12.475517	0.891108	14	0.938000	0.933000	0.437000	0.933000
UP00044_2.UNIPROBE	10.458653	0.747047	14	0.523000	0.496000	0.436000	0.496000
UP00044.1.ZHAO2011	20.130101	0.745559	27	0.517000	0.500000	0.506000	0.500000
UP00044.2.ZHAO2011	17.338345	0.753841	23	0.503000	0.500000	0.449000	0.500000
MAFK_1.GUERTIN	12.771685	0.672194	19	0.973000	0.868000	0.438000	0.810000
MAFK_2.GUERTIN	15.168479	1.011232	15	0.528000	0.510000	0.556000	0.509000
MAFK_3.GUERTIN	12.881564	0.858771	15	0.478000	0.489000	0.560000	0.492000
MAFK_4.GUERTIN	18.495201	1.233013	15	0.434000	0.474000	0.437000	0.473000
Mafk.TF2DNA	9.950419	1.421488	7	0.617000	0.653000	0.453000	0.653000
M2296_1.02.CIS-BP	13.586347	0.970453	14	0.966000	0.950000	0.439000	0.951000
