Motif	SydhHepg2Mafkab50322Iggrab-100	SydhK562Mafkab50322Iggrab-100	SydhImr90MafkIggrab-100	SydhHelas3MafkIggrab-100	SydhH1hescMafkIggrab-100	SydhHepg2Mafksc477Iggrab-100	Average
MAFK_1.GUERTIN	557.93	337.24	462.07	173.59	170.53	279.95	330.218333333
MAFK_full_2.JOLMA	500.51	320.21	424.65	170.86	178.62	264.49	309.89
MA0496.1.JASPAR	494.86	311.52	420.56	171.31	159.11	290.59	307.991666667
M2296_1.02.CIS-BP	494.86	311.52	420.56	171.31	159.11	290.59	307.991666667
MAFK_DBD_2.JOLMA	494.39	311.63	417.3	162.11	159.9	245.58	298.485
MafK.HOMER	462.61	333.67	359.37	156.99	159.91	241.04	285.598333333
MAFK_DBD_1.JOLMA	449.44	286.93	387.42	165.58	155.31	259.43	284.018333333
MAFK_full_1.JOLMA	455.24	289.07	386.21	162.85	155.45	254.82	283.94
UP00044_1.UNIPROBE	461.87	281.04	384.04	157.04	143.82	249.97	279.63
MAFK_si.HOCOMOCO	381.05	299.65	332.35	152.42	160.14	203.74	254.891666667
Mafk.TF2DNA	175.25	81.49	188.73	43.46	51.09	77.17	102.865
UP00044_2.UNIPROBE	0.58	0.03	0.08	-0.0	-0.0	-0.0	0.115
MAFK_2.GUERTIN	0.26	-0.0	0.0	-0.0	-0.0	0.21	0.0783333333333
MAFK_3.GUERTIN	0.0	-0.0	-0.0	-0.0	0.09	-0.0	0.015
UP00044.1.ZHAO2011	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0
UP00044.2.ZHAO2011	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0
MAFK_4.GUERTIN	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0
