Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc
MA0058.2.JASPAR	12.567761	1.396418	9	0.851000	0.862000	0.691000	0.863000
MAX_f1.HOCOMOCO	11.611340	1.161134	10	0.923000	0.927000	0.693000	0.928000
Max.HOMER	11.292923	1.026629	11	0.919000	0.907000	0.697000	0.910000
MAX_DBD_1.JOLMA	18.770986	1.173187	16	0.836000	0.599000	0.708000	0.561000
MAX_DBD_2.JOLMA	11.221762	1.246862	9	0.923000	0.931000	0.692000	0.932000
UP00060_1.UNIPROBE	12.002915	0.800194	15	0.911000	0.896000	0.694000	0.883000
UP00060_2.UNIPROBE	9.202370	0.707875	13	0.820000	0.853000	0.685000	0.853000
UP00060.1.ZHAO2011	28.277967	0.975102	29	0.639000	0.500000	0.307000	0.500000
UP00060.2.ZHAO2011	19.504618	1.083590	18	0.648000	0.507000	0.548000	0.505000
UP00060.3.ZHAO2011	19.484570	1.082476	18	0.649000	0.508000	0.594000	0.507000
UP00060.4.ZHAO2011	21.389545	1.188308	18	0.706000	0.509000	0.588000	0.507000
Max_1.3DFOOTPRINT	3.343170	1.114390	3	0.503000	0.528000	0.644000	0.480000
Max_2.3DFOOTPRINT	13.202047	1.886007	7	0.901000	0.859000	0.694000	0.858000
Max_3.3DFOOTPRINT	6.748370	1.687093	4	0.515000	0.651000	0.500000	0.624000
Max_1.GUERTIN	11.785069	1.071370	11	0.922000	0.922000	0.333000	0.922000
Max_2.GUERTIN	14.489842	1.034989	14	0.556000	0.555000	0.334000	0.544000
Max_3.GUERTIN	20.539586	1.081031	19	0.468000	0.502000	0.669000	0.502000
Max_4.GUERTIN	16.633578	1.512143	11	0.613000	0.587000	0.293000	0.582000
MAX.1_1.ZLAB	13.242696	1.018669	13	0.922000	0.904000	0.692000	0.899000
MAX.1_2.ZLAB	13.712123	1.371212	10	0.890000	0.821000	0.700000	0.820000
MAX.1_3.ZLAB	13.093420	1.870489	7	0.538000	0.541000	0.668000	0.540000
MAX.1_4.ZLAB	17.884395	1.277457	14	0.653000	0.549000	0.608000	0.548000
MAX.1_5.ZLAB	14.447444	0.722372	20	0.366000	0.495000	0.685000	0.496000
Max.TF2DNA	8.465501	1.209357	7	0.557000	0.610000	0.606000	0.610000
M1889_1.02.CIS-BP	12.567761	1.396418	9	0.851000	0.862000	0.691000	0.863000
