Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc
MA0052.2.JASPAR	14.853724	1.060980	14	1.774000	1.837000	0.921000	1.837000
MEF2A_f1.HOCOMOCO	14.858516	1.142963	13	1.693000	1.714000	0.922000	1.713000
Mef2a.HOMER	9.863657	1.095962	9	1.669000	1.639000	0.922000	1.639000
MEF2_disc1.POUR	12.917400	0.922671	14	1.777000	1.828000	0.922000	1.828000
MEF2_disc2.POUR	13.501378	1.687672	8	1.063000	1.100000	0.996000	1.093000
MEF2A_DBD.JOLMA	16.859129	1.532648	11	1.669000	1.674000	0.921000	1.679000
MEF2A_1.3DFOOTPRINT	13.385995	0.892400	15	1.311000	1.297000	0.958000	1.297000
MEF2A.3DFOOTPRINT	4.642059	0.928412	5	1.207000	1.081000	0.936000	1.076000
MEF2A_3.3DFOOTPRINT	5.278835	0.586537	9	1.067000	1.104000	0.919000	1.104000
MEF2A_4.3DFOOTPRINT	5.278835	0.586537	9	1.174000	1.020000	0.938000	1.020000
MEF2A_5.3DFOOTPRINT	6.372364	0.708040	9	1.296000	1.269000	0.986000	1.270000
MEF2A_6.3DFOOTPRINT	3.963634	0.495454	8	1.169000	1.083000	0.998000	1.084000
MEF2A_7.3DFOOTPRINT	6.702648	0.744739	9	1.306000	1.216000	0.919000	1.215000
MEF2A_8.3DFOOTPRINT	5.918252	0.657584	9	1.301000	1.098000	0.936000	1.099000
MEF2A_1.GUERTIN	13.730919	0.915395	15	1.790000	1.854000	0.920000	1.854000
MEF2A_2.GUERTIN	14.264033	1.783004	8	1.135000	1.230000	1.001000	1.224000
MEF2A_3.GUERTIN	12.016837	0.632465	19	1.061000	0.988000	0.925000	0.988000
MEF2A_4.GUERTIN	22.650934	1.192154	19	1.044000	1.023000	0.960000	1.038000
MEF2.1_1.ZLAB	12.725681	0.908977	14	1.779000	1.844000	0.921000	1.844000
MEF2.1_2.ZLAB	12.540041	1.254004	10	1.061000	1.096000	0.939000	1.095000
MEF2.1_3.ZLAB	13.604462	1.943495	7	1.099000	1.191000	0.962000	1.181000
MEF2.1_4.ZLAB	13.280058	0.664003	20	1.095000	1.028000	0.937000	1.030000
MEF2.1_5.ZLAB	12.290001	1.755714	7	1.099000	1.127000	0.939000	1.133000
Mef2a.TF2DNA	8.494166	1.213452	7	1.258000	1.009000	0.921000	1.009000
MEF2A.SWISSREGULON	14.711915	1.634657	9	1.539000	1.570000	0.926000	1.569000
M1884_1.02.CIS-BP	14.853724	1.060980	14	1.774000	1.837000	0.921000	1.837000
