Motif	SydhHelas3Nrf1Iggmus-100	SydhH1hescNrf1Iggrab-100	SydhHepg2Nrf1Iggrab-100	SydhGm12878Nrf1Iggmus-100	SydhK562Nrf1Iggrab-100	Average
M2305_1.02.CIS-BP	33.65	60.52	40.65	71.25	25.26	46.266
MA0506.1.JASPAR	27.54	63.11	38.44	70.02	24.6	44.742
NRF1_1.GUERTIN	27.28	58.0	42.09	69.97	24.62	44.392
NRF1.HOMER	28.39	62.05	42.23	72.48	16.67	44.364
NRF1.SWISSREGULON	27.96	58.64	42.68	69.79	14.9	42.794
NRF1_f1.HOCOMOCO	24.96	56.88	36.57	69.23	23.01	42.13
NRF1_disc1.POUR	26.25	50.34	36.89	68.04	15.99	39.502
NRF1_full.JOLMA	25.8	56.24	33.96	64.55	15.7	39.25
NRF1.1_2.ZLAB	25.74	46.92	32.43	64.08	20.68	37.97
NRF1.1_1.ZLAB	29.5	57.43	22.72	65.9	13.7	37.85
NRF1_disc3.POUR	0.97	6.24	0.44	10.26	-0.0	3.582
NRF1.1_3.ZLAB	0.0	-0.0	-0.0	-0.0	0.17	0.034
NRF1_disc2.POUR	-0.0	0.01	0.0	-0.0	0.0	0.002
NF2L1_f1.HOCOMOCO	0.0	-0.0	-0.0	-0.0	0.0	0.0
NRF1_2.GUERTIN	-0.0	0.0	-0.0	0.0	-0.0	0.0
NRF1_3.GUERTIN	-0.0	-0.0	-0.0	-0.0	-0.0	0.0
NRF1_4.GUERTIN	-0.0	-0.0	-0.0	-0.0	-0.0	0.0
NRF1.1_4.ZLAB	-0.0	-0.0	-0.0	-0.0	-0.0	0.0
NRF1.1_5.ZLAB	-0.0	-0.0	-0.0	-0.0	-0.0	0.0
Nfe2l1.TF2DNA	-0.0	-0.0	0.0	-0.0	0.0	0.0
NFE2L1.SWISSREGULON	0.0	-0.0	-0.0	-0.0	0.0	0.0
M6359_1.02.CIS-BP	0.0	-0.0	-0.0	-0.0	0.0	0.0
