Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc
MA0506.1.JASPAR	13.247275	1.324728	10	1.971000	1.954000	1.241000	1.954000
NF2L1_f1.HOCOMOCO	6.967349	1.161225	6	0.871000	0.836000	0.802000	0.834000
NRF1_f1.HOCOMOCO	10.919922	0.992720	11	1.971000	1.961000	1.236000	1.961000
NRF1.HOMER	15.671289	1.424663	11	1.975000	1.961000	1.221000	1.961000
NRF1_disc1.POUR	17.340430	1.238602	14	1.977000	1.952000	1.239000	1.952000
NRF1_disc2.POUR	11.689568	1.669938	7	1.214000	1.103000	1.295000	1.105000
NRF1_disc3.POUR	6.867497	0.763055	9	1.495000	1.420000	1.188000	1.420000
NRF1_full.JOLMA	17.065223	1.551384	11	1.973000	1.954000	1.299000	1.955000
NRF1_1.GUERTIN	13.875071	1.261370	11	1.967000	1.962000	1.223000	1.962000
NRF1_2.GUERTIN	9.146182	0.481378	19	0.828000	0.772000	0.747000	0.772000
NRF1_3.GUERTIN	14.997369	1.363397	11	1.308000	1.207000	0.742000	1.205000
NRF1_4.GUERTIN	26.763724	1.408617	19	1.458000	1.137000	0.760000	1.094000
NRF1.1_1.ZLAB	18.247762	1.303412	14	1.978000	1.958000	1.249000	1.959000
NRF1.1_2.ZLAB	15.131954	1.080854	14	1.974000	1.959000	1.241000	1.959000
NRF1.1_3.ZLAB	23.157046	1.157852	20	0.920000	1.090000	1.235000	1.082000
NRF1.1_4.ZLAB	13.705148	0.685257	20	1.108000	1.000000	1.223000	1.002000
NRF1.1_5.ZLAB	16.888352	1.206311	14	1.306000	1.182000	1.256000	1.184000
Nfe2l1.TF2DNA	6.881100	0.983014	7	0.903000	0.875000	0.759000	0.874000
NFE2L1.SWISSREGULON	9.266435	1.853287	5	0.855000	0.841000	0.767000	0.836000
NRF1.SWISSREGULON	14.583844	1.620427	9	1.963000	1.943000	1.169000	1.944000
M2305_1.02.CIS-BP	13.774541	1.377454	10	1.959000	1.949000	1.211000	1.949000
M6359_1.02.CIS-BP	6.916674	1.152779	6	0.870000	0.833000	0.791000	0.831000
