Motif	HaibGm12878Pax5c20Pcr1x-100	HaibGm12891Pax5c20V0416101-100	HaibGm12892Pax5c20V0416101-100	HaibGm12878Pax5n19Pcr1x-100	Average
PAX5.1_1.ZLAB	133.2	62.37	42.6	67.19	76.34
MA0014.2.JASPAR	135.1	53.65	37.68	74.04	75.1175
PAX5_DBD.JOLMA	140.33	60.32	30.59	61.53	73.1925
M4471_1.02.CIS-BP	114.2	56.52	32.14	61.14	66.0
PAX5_disc1.POUR	115.05	44.49	32.18	69.45	65.2925
PAX5_f1.HOCOMOCO	115.9	52.54	30.19	58.45	64.27
PAX5_1.HOMER	101.71	46.93	31.79	52.75	58.295
PAX5_disc2.POUR	52.01	32.39	18.76	36.74	34.975
PAX5_2.HOMER	22.8	14.7	5.82	10.45	13.4425
PAX5.SWISSREGULON	27.61	6.9	3.18	15.92	13.4025
PAX5_1.GUERTIN	8.03	0.44	-0.0	1.95	2.605
PAX5_disc5.POUR	-0.0	-0.0	1.13	-0.0	0.2825
Pax5_2.3DFOOTPRINT	0.03	-0.0	-0.0	-0.0	0.0075
PAX5_3.GUERTIN	-0.0	-0.0	-0.0	0.02	0.005
PAX5.1_5.ZLAB	0.02	-0.0	-0.0	-0.0	0.005
PAX5_2.GUERTIN	-0.0	-0.0	-0.0	0.01	0.0025
PAX5_si.HOCOMOCO	-0.0	-0.0	-0.0	-0.0	0.0
PAX5_disc3.POUR	-0.0	-0.0	-0.0	-0.0	0.0
PAX5_disc4.POUR	-0.0	-0.0	-0.0	-0.0	0.0
Pax5_1.3DFOOTPRINT	-0.0	-0.0	-0.0	-0.0	0.0
PAX5_3.3DFOOTPRINT	-0.0	-0.0	0.0	-0.0	0.0
PAX5_4.GUERTIN	-0.0	-0.0	-0.0	-0.0	0.0
PAX5.1_2.ZLAB	-0.0	-0.0	-0.0	-0.0	0.0
PAX5.1_3.ZLAB	-0.0	-0.0	-0.0	-0.0	0.0
PAX5.1_4.ZLAB	-0.0	-0.0	-0.0	0.0	0.0
Pax5.TF2DNA	0.0	0.0	-0.0	-0.0	0.0
