Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc
MA0507.1.JASPAR	15.046107	1.253842	12	0.815000	0.811000	0.457000	0.812000
PO2F2_si.HOCOMOCO	13.968438	1.746055	8	0.799000	0.785000	0.464000	0.794000
Oct4_1.HOMER	14.640873	1.626764	9	0.813000	0.808000	0.458000	0.811000
POU2F2_disc1.POUR	8.239147	1.177021	7	0.787000	0.790000	0.454000	0.790000
POU2F2_disc2.POUR	7.485009	0.623751	12	0.535000	0.537000	0.543000	0.536000
POU2F2_DBD_1.JOLMA	10.440903	1.044090	10	0.801000	0.801000	0.456000	0.801000
POU2F2_DBD_2.JOLMA	8.806740	0.677442	13	0.729000	0.702000	0.457000	0.701000
Pou2f2_DBD_1.JOLMA	15.903738	1.223364	13	0.713000	0.683000	0.456000	0.682000
Pou2f2_DBD_2.JOLMA	12.789546	1.598693	8	0.805000	0.792000	0.463000	0.794000
UP00191_1.UNIPROBE	14.252469	0.950165	15	0.801000	0.801000	0.457000	0.799000
UP00191.1.ZHAO2011	16.116708	1.074447	15	0.548000	0.496000	0.510000	0.498000
OCT2_1.GUERTIN	23.416594	1.232452	19	0.502000	0.501000	0.547000	0.500000
OCT2_2.GUERTIN	30.588115	1.609901	19	0.483000	0.499000	0.454000	0.500000
OCT2_3.GUERTIN	19.686930	1.312462	15	0.483000	0.483000	0.463000	0.489000
OCT2_4.GUERTIN	29.197792	1.536726	19	0.583000	0.500000	0.455000	0.500000
POU2F2.1_1.ZLAB	13.618449	1.134871	12	0.819000	0.828000	0.458000	0.827000
POU2F2.1_2.ZLAB	12.468210	1.246821	10	0.521000	0.516000	0.453000	0.516000
POU2F2.1_3.ZLAB	49.135607	1.694331	29	0.527000	0.500000	0.458000	0.500000
POU2F2.1_4.ZLAB	15.907746	1.223673	13	0.556000	0.551000	0.520000	0.541000
POU2F2.1_5.ZLAB	26.593414	1.329671	20	0.551000	0.504000	0.541000	0.504000
Pou2f2.TF2DNA	9.817302	1.227163	8	0.533000	0.543000	0.453000	0.542000
POU2F2.SWISSREGULON	17.521546	1.460129	12	0.800000	0.739000	0.458000	0.740000
M2306_1.02.CIS-BP	15.046107	1.253842	12	0.815000	0.811000	0.457000	0.812000
