Motif	HaibGm12878Pou2f2Pcr1x-100	HaibGm12891Pou2f2Pcr1x-100	Average
PO2F2_si.HOCOMOCO	98.91	71.92	85.415
Pou2f2_DBD_2.JOLMA	98.23	71.89	85.06
POU2F2_disc1.POUR	93.23	71.69	82.46
POU2F2_DBD_1.JOLMA	94.56	69.09	81.825
MA0507.1.JASPAR	96.45	67.19	81.82
M2306_1.02.CIS-BP	96.45	67.19	81.82
POU2F2.1_1.ZLAB	94.53	68.34	81.435
Oct4_1.HOMER	88.8	66.44	77.62
UP00191_1.UNIPROBE	81.63	49.11	65.37
POU2F2.SWISSREGULON	74.8	51.94	63.37
POU2F2_DBD_2.JOLMA	63.79	42.55	53.17
Pou2f2_DBD_1.JOLMA	52.72	35.98	44.35
Pou2f2.TF2DNA	4.94	22.42	13.68
POU2F2_disc2.POUR	-0.0	-0.0	0.0
UP00191.1.ZHAO2011	-0.0	-0.0	0.0
OCT2_1.GUERTIN	-0.0	-0.0	0.0
OCT2_2.GUERTIN	0	-0.0	0.0
OCT2_3.GUERTIN	-0.0	-0.0	0.0
OCT2_4.GUERTIN	0.0	0.0	0.0
POU2F2.1_2.ZLAB	-0.0	-0.0	0.0
POU2F2.1_3.ZLAB	0	0	0.0
POU2F2.1_4.ZLAB	-0.0	-0.0	0.0
POU2F2.1_5.ZLAB	-0.0	-0.0	0.0
