Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc
MA0508.1.JASPAR	15.090091	1.077864	14	0.952000	0.953000	0.459000	0.951000
PRDM1_f1.HOCOMOCO	16.743546	1.287965	13	0.943000	0.938000	0.459000	0.937000
PRDM1.HOMER	10.658050	0.968914	11	0.918000	0.925000	0.458000	0.925000
PRDM1_disc1.POUR	16.162339	1.795815	9	0.940000	0.819000	0.465000	0.818000
PRDM1_disc2.POUR	13.465282	1.496142	9	0.640000	0.623000	0.485000	0.614000
PRDM1_full.JOLMA	18.343790	1.310271	14	0.942000	0.935000	0.463000	0.933000
PRDM1_1.GUERTIN	13.773436	1.059495	13	0.957000	0.957000	0.486000	0.956000
PRDM1_2.GUERTIN	13.503885	1.687986	8	0.614000	0.609000	0.484000	0.618000
PRDM1_3.GUERTIN	12.024694	0.632879	19	0.539000	0.493000	0.538000	0.500000
PRDM1_4.GUERTIN	20.256239	1.446874	14	0.539000	0.523000	0.459000	0.513000
PRDM1.1_1.ZLAB	15.108326	1.079166	14	0.959000	0.966000	0.458000	0.965000
PRDM1.1_2.ZLAB	11.951655	1.707379	7	0.598000	0.602000	0.509000	0.603000
PRDM1.1_3.ZLAB	12.437253	0.888375	14	0.527000	0.539000	0.540000	0.537000
PRDM1.1_4.ZLAB	46.821053	1.734113	27	0.506000	0.503000	0.466000	0.503000
PRDM1.1_5.ZLAB	37.770137	1.398894	27	0.467000	0.500000	0.465000	0.500000
Prdm1.TF2DNA	8.758482	1.094810	8	0.655000	0.643000	0.456000	0.644000
PRDM1.SWISSREGULON	18.678344	1.698031	11	0.949000	0.931000	0.463000	0.936000
M2307_1.02.CIS-BP	15.090091	1.077864	14	0.952000	0.953000	0.459000	0.951000
