Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc
MA0083.2.JASPAR	15.411693	0.906570	17	0.728000	0.748000	0.377000	0.732000
SRF_do.HOCOMOCO	13.744725	0.981766	14	0.734000	0.739000	0.367000	0.748000
SRF_disc1.POUR	14.329622	1.592180	9	0.648000	0.615000	0.365000	0.612000
SRF_disc2.POUR	7.091983	0.709198	10	0.629000	0.645000	0.637000	0.645000
SRF_DBD.JOLMA	16.891230	1.535566	11	0.733000	0.743000	0.394000	0.739000
SRF_full.JOLMA	20.224740	1.348316	15	0.729000	0.677000	0.633000	0.670000
UP00077_1.UNIPROBE	10.992314	0.845563	13	0.731000	0.697000	0.364000	0.701000
UP00077_2.UNIPROBE	6.435829	0.402239	16	0.382000	0.422000	0.360000	0.435000
UP00077.1.ZHAO2011	0.251941	0.027993	9	0.530000	0.375000	0.359000	0.375000
UP00077.2.ZHAO2011	0.235785	0.026198	9	0.478000	0.614000	0.648000	0.613000
SRF_ETS-DOMAIN.3DFOOTPRINT	7.550870	1.510174	5	0.472000	0.477000	0.633000	0.480000
SRF_3.3DFOOTPRINT	21.203897	1.413593	15	0.528000	0.514000	0.410000	0.509000
SRF_4.3DFOOTPRINT	8.552346	1.069043	8	0.455000	0.472000	0.614000	0.473000
SRF_5.3DFOOTPRINT	21.399160	1.426611	15	0.520000	0.511000	0.609000	0.505000
SRF_6.3DFOOTPRINT	6.026429	1.205286	5	0.554000	0.529000	0.636000	0.529000
SRF_1.3DFOOTPRINT	12.421841	1.380205	9	0.515000	0.518000	0.394000	0.523000
SRF_2.3DFOOTPRINT	6.490037	1.298007	5	0.523000	0.553000	0.352000	0.559000
SRF_1.GUERTIN	15.186613	1.012441	15	0.730000	0.753000	0.641000	0.756000
SRF_2.GUERTIN	29.389494	1.546815	19	0.440000	0.499000	0.370000	0.499000
SRF_3.GUERTIN	10.192109	1.698685	6	0.579000	0.592000	0.618000	0.592000
SRF_4.GUERTIN	26.576290	1.398752	19	0.530000	0.503000	0.366000	0.503000
SRF.1_1.ZLAB	17.106513	1.315886	13	0.711000	0.717000	0.377000	0.725000
SRF.1_2.ZLAB	35.224573	1.214640	29	0.441000	0.500000	0.385000	0.500000
SRF.1_3.ZLAB	36.250770	1.812538	20	0.434000	0.500000	0.351000	0.500000
SRF.1_4.ZLAB	45.718197	1.632793	28	0.452000	0.500000	0.378000	0.500000
SRF.1_5.ZLAB	24.372947	1.354053	18	0.486000	0.500000	0.357000	0.501000
Srf.TF2DNA	8.493690	1.213384	7	0.455000	0.439000	0.364000	0.439000
SRF.SWISSREGULON	14.703209	1.336655	11	0.728000	0.727000	0.372000	0.722000
M4477_1.02.CIS-BP	14.599185	0.811066	18	0.743000	0.721000	0.369000	0.709000
