Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc
E2A_1.HOMER	11.385580	1.265064	9	0.862000	0.868000	0.668000	0.867000
E2A_2.HOMER	11.919741	1.324416	9	0.799000	0.792000	0.671000	0.792000
E-box.HOMER	14.636387	1.330581	11	0.639000	0.638000	0.668000	0.636000
TCF3_DBD.JOLMA	11.388434	1.265382	9	0.833000	0.854000	0.667000	0.851000
UP00058_1.UNIPROBE	11.971684	0.748230	16	0.368000	0.468000	0.331000	0.473000
UP00046_1.UNIPROBE	11.912928	0.744558	16	0.804000	0.811000	0.668000	0.710000
UP00058_2.UNIPROBE	2.646869	0.189062	14	0.381000	0.351000	0.332000	0.351000
UP00046_2.UNIPROBE	11.613522	0.725845	16	0.731000	0.689000	0.659000	0.630000
UP00058.1.ZHAO2011	1.778534	0.197615	9	0.395000	0.329000	0.333000	0.329000
UP00058.2.ZHAO2011	1.493659	0.165962	9	0.396000	0.331000	0.331000	0.330000
UP00046.1.ZHAO2011	10.131050	1.125672	9	0.831000	0.852000	0.670000	0.848000
UP00046.2.ZHAO2011	10.084773	1.120530	9	0.833000	0.849000	0.669000	0.849000
TCF3_1.GUERTIN	17.605268	0.926593	19	0.551000	0.501000	0.656000	0.505000
TCF3_2.GUERTIN	11.397238	1.424655	8	0.825000	0.834000	0.625000	0.832000
TCF3_3.GUERTIN	30.626174	1.611904	19	0.383000	0.500000	0.633000	0.500000
TCF3_4.GUERTIN	15.494646	0.815508	19	0.396000	0.484000	0.329000	0.496000
Tcf3.TF2DNA	9.158512	1.308359	7	0.442000	0.493000	0.636000	0.491000
TCF3.SWISSREGULON	12.832396	0.987107	13	0.703000	0.693000	0.335000	0.692000
M6516_1.02.CIS-BP	10.944965	1.094496	10	0.783000	0.830000	0.671000	0.830000
