Motif	HaibGm12878Tcf3Pcr1x-100	SydhK562Tf3c110-100	SydhHelas3Tf3c110-100	Average
TCF3_2.GUERTIN	10.04	-0.0	-0.0	3.34666666667
E2A_1.HOMER	7.53	-0.0	-0.0	2.51
TCF3_DBD.JOLMA	4.1	-0.0	-0.0	1.36666666667
M6516_1.02.CIS-BP	2.05	-0.0	-0.0	0.683333333333
UP00046_1.UNIPROBE	0.96	-0.0	-0.0	0.32
Tcf3.TF2DNA	0.0	0.57	-0.0	0.19
UP00046.2.ZHAO2011	0.41	-0.0	-0.0	0.136666666667
E2A_2.HOMER	0.0	-0.0	-0.0	0.0
E-box.HOMER	-0.0	-0.0	-0.0	0.0
UP00058_1.UNIPROBE	-0.0	-0.0	-0.0	0.0
UP00058_2.UNIPROBE	-0.0	-0.0	-0.0	0.0
UP00046_2.UNIPROBE	0.0	-0.0	-0.0	0.0
UP00058.1.ZHAO2011	-0.0	-0.0	-0.0	0.0
UP00058.2.ZHAO2011	-0.0	-0.0	-0.0	0.0
UP00046.1.ZHAO2011	0.0	-0.0	-0.0	0.0
TCF3_1.GUERTIN	-0.0	-0.0	0.0	0.0
TCF3_3.GUERTIN	-0.0	-0.0	-0.0	0.0
TCF3_4.GUERTIN	0.0	0.0	-0.0	0.0
TCF3.SWISSREGULON	0.0	-0.0	-0.0	0.0
