Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc
MA0466.1.JASPAR	13.475161	1.347516	10	0.878000	0.913000	0.502000	0.914000
CEBPB_f1.HOCOMOCO	10.419805	1.157756	9	0.858000	0.896000	0.501000	0.897000
CEBP.HOMER	11.202354	1.244706	9	0.797000	0.825000	0.502000	0.827000
CEBPB_disc1.POUR	13.241343	1.471260	9	0.801000	0.726000	0.501000	0.731000
CEBPB_disc2.POUR	13.470955	1.683869	8	0.445000	0.463000	0.500000	0.468000
CEBPB_DBD.JOLMA	12.453528	1.383725	9	0.839000	0.879000	0.505000	0.880000
CEBPB_full.JOLMA	12.668164	1.407574	9	0.842000	0.878000	0.502000	0.880000
CPEB1_full.JOLMA	10.460319	1.494331	7	0.495000	0.505000	0.500000	0.506000
Cebpb_DBD.JOLMA	12.877037	1.430782	9	0.838000	0.874000	0.500000	0.876000
CEBPB_3.3DFOOTPRINT	12.500000	1.562500	8	0.559000	0.494000	0.501000	0.500000
CEBPB_2.3DFOOTPRINT	3.759216	0.939804	4	0.489000	0.470000	0.500000	0.471000
CEBPB_4.3DFOOTPRINT	7.998116	1.142588	7	0.685000	0.679000	0.500000	0.680000
CEBPB_5.3DFOOTPRINT	4.300762	1.433587	3	0.500000	0.500000	0.500000	0.500000
CEBPB_6.3DFOOTPRINT	10.182533	1.272817	8	0.587000	0.602000	0.501000	0.603000
CEBPB_7.3DFOOTPRINT	4.381618	1.460539	3	0.500000	0.500000	0.500000	0.500000
CEBPB_8.3DFOOTPRINT	25.822756	1.359092	19	0.586000	0.500000	0.501000	0.500000
CEBPB_9.3DFOOTPRINT	4.661866	1.165467	4	0.488000	0.460000	0.500000	0.463000
CEBPB_10.3DFOOTPRINT	23.975915	1.331995	18	0.561000	0.500000	0.499000	0.500000
CEBPB_11.3DFOOTPRINT	26.989891	1.420521	19	0.598000	0.500000	0.500000	0.500000
CEBPB_12.3DFOOTPRINT	25.091268	1.393959	18	0.542000	0.500000	0.499000	0.499000
CEBPB_13.3DFOOTPRINT	21.790275	1.281781	17	0.540000	0.502000	0.498000	0.502000
CEBPB_14.3DFOOTPRINT	3.113819	1.037940	3	0.500000	0.500000	0.500000	0.500000
CEBPB_15.3DFOOTPRINT	21.626218	1.351639	16	0.530000	0.501000	0.503000	0.501000
CEBPB_16.3DFOOTPRINT	5.335931	1.067186	5	0.439000	0.438000	0.500000	0.439000
CEBPB_17.3DFOOTPRINT	8.321029	1.664206	5	0.627000	0.629000	0.500000	0.645000
CEBPB_18.3DFOOTPRINT	7.779473	0.972434	8	0.740000	0.689000	0.501000	0.690000
CEBPB_19.3DFOOTPRINT	10.560258	1.508608	7	0.664000	0.666000	0.500000	0.667000
CEBPB_20.3DFOOTPRINT	5.202047	1.734016	3	0.500000	0.500000	0.500000	0.500000
CEBPB_1.GUERTIN	12.105477	0.807032	15	0.917000	0.929000	0.502000	0.929000
CEBPB_2.GUERTIN	26.016498	1.369289	19	0.515000	0.499000	0.504000	0.499000
CEBPB_3.GUERTIN	25.750357	1.355282	19	0.532000	0.502000	0.497000	0.502000
CEBPB_4.GUERTIN	24.408360	1.284651	19	0.501000	0.500000	0.505000	0.500000
CEBPB.1_1.ZLAB	12.931631	0.994741	13	0.917000	0.930000	0.502000	0.929000
CEBPB.1_2.ZLAB	34.419081	1.229253	28	0.515000	0.500000	0.505000	0.500000
CEBPB.1_3.ZLAB	28.537113	1.426856	20	0.519000	0.500000	0.500000	0.500000
CEBPB.1_4.ZLAB	15.737465	0.786873	20	0.549000	0.513000	0.499000	0.511000
CEBPB.1_5.ZLAB	14.000000	2.000000	7	0.542000	0.520000	0.498000	0.529000
Cebpb.TF2DNA	9.662372	1.610395	6	0.552000	0.517000	0.500000	0.522000
CEBPB.SWISSREGULON	11.944500	1.085864	11	0.731000	0.749000	0.500000	0.751000
M2268_1.02.CIS-BP	13.475161	1.347516	10	0.878000	0.913000	0.502000	0.914000
