Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc
MA0466.1.JASPAR	13.475161	1.347516	10	1.754000	1.818000	1.009000	1.819000
CEBPB_f1.HOCOMOCO	10.419805	1.157756	9	1.715000	1.770000	1.004000	1.771000
CEBP.HOMER	11.202354	1.244706	9	1.553000	1.682000	1.007000	1.683000
CEBPB_disc1.POUR	13.241343	1.471260	9	1.561000	1.562000	1.006000	1.565000
CEBPB_disc2.POUR	13.470955	1.683869	8	0.913000	0.953000	1.006000	0.957000
CEBPB_DBD.JOLMA	12.453528	1.383725	9	1.636000	1.765000	1.014000	1.767000
CEBPB_full.JOLMA	12.668164	1.407574	9	1.645000	1.764000	1.008000	1.766000
CPEB1_full.JOLMA	10.460319	1.494331	7	1.003000	1.014000	1.005000	1.014000
Cebpb_DBD.JOLMA	12.877037	1.430782	9	1.634000	1.757000	1.005000	1.759000
CEBPB_3.3DFOOTPRINT	12.500000	1.562500	8	1.125000	1.010000	1.009000	1.016000
CEBPB_2.3DFOOTPRINT	3.759216	0.939804	4	0.987000	0.958000	1.006000	0.958000
CEBPB_4.3DFOOTPRINT	7.998116	1.142588	7	1.312000	1.396000	1.003000	1.396000
CEBPB_5.3DFOOTPRINT	4.300762	1.433587	3	1.001000	1.002000	1.004000	1.004000
CEBPB_6.3DFOOTPRINT	10.182533	1.272817	8	1.135000	1.136000	1.008000	1.138000
CEBPB_7.3DFOOTPRINT	4.381618	1.460539	3	1.002000	1.001000	1.003000	1.004000
CEBPB_8.3DFOOTPRINT	25.822756	1.359092	19	1.161000	1.012000	1.006000	1.018000
CEBPB_9.3DFOOTPRINT	4.661866	1.165467	4	0.983000	0.949000	1.005000	0.951000
CEBPB_10.3DFOOTPRINT	23.975915	1.331995	18	1.112000	1.016000	1.002000	1.026000
CEBPB_11.3DFOOTPRINT	26.989891	1.420521	19	1.180000	1.009000	1.005000	1.012000
CEBPB_12.3DFOOTPRINT	25.091268	1.393959	18	1.076000	1.001000	1.008000	0.998000
CEBPB_13.3DFOOTPRINT	21.790275	1.281781	17	1.077000	1.030000	1.005000	1.030000
CEBPB_14.3DFOOTPRINT	3.113819	1.037940	3	1.002000	1.003000	1.003000	1.004000
CEBPB_15.3DFOOTPRINT	21.626218	1.351639	16	1.061000	1.016000	1.008000	1.011000
CEBPB_16.3DFOOTPRINT	5.335931	1.067186	5	0.913000	0.912000	1.005000	0.914000
CEBPB_17.3DFOOTPRINT	8.321029	1.664206	5	1.250000	1.177000	1.004000	1.232000
CEBPB_18.3DFOOTPRINT	7.779473	0.972434	8	1.387000	1.451000	1.007000	1.452000
CEBPB_19.3DFOOTPRINT	10.560258	1.508608	7	1.254000	1.376000	1.006000	1.377000
CEBPB_20.3DFOOTPRINT	5.202047	1.734016	3	1.002000	1.001000	1.003000	1.004000
CEBPB_1.GUERTIN	12.105477	0.807032	15	1.822000	1.862000	1.009000	1.863000
CEBPB_2.GUERTIN	26.016498	1.369289	19	1.043000	1.026000	1.009000	1.016000
CEBPB_3.GUERTIN	25.750357	1.355282	19	1.048000	1.033000	0.999000	1.029000
CEBPB_4.GUERTIN	24.408360	1.284651	19	1.029000	1.002000	1.013000	1.006000
CEBPB.1_1.ZLAB	12.931631	0.994741	13	1.819000	1.865000	1.008000	1.867000
CEBPB.1_2.ZLAB	34.419081	1.229253	28	1.035000	1.007000	1.016000	0.991000
CEBPB.1_3.ZLAB	28.537113	1.426856	20	1.044000	1.003000	1.004000	0.996000
CEBPB.1_4.ZLAB	15.737465	0.786873	20	1.058000	1.141000	0.997000	1.139000
CEBPB.1_5.ZLAB	14.000000	2.000000	7	1.056000	1.081000	1.002000	1.090000
Cebpb.TF2DNA	9.662372	1.610395	6	1.111000	1.061000	1.005000	1.064000
CEBPB.SWISSREGULON	11.944500	1.085864	11	1.440000	1.506000	1.004000	1.510000
M2268_1.02.CIS-BP	13.475161	1.347516	10	1.754000	1.818000	1.009000	1.819000
