Motif	JASPAR	HOCOMOCO	HOMER	POUR	JOLMA	GUERTIN	ZLAB	TF2DNA	SWISSREGULON	CIS-BP
gata3	0.610	0.729	0.539	0.563	0.685	0.591	0.574	0.556	0.531	0.573
egr1	0.878	0.893	0.864	0.783	0.900	0.855	0.506	0.684	0.890	0.541
hnf4a	0.838	0.910	0.736	0.878	0.602	0.739	0.906	0.655	0.808	0.818
pou2f2	0.807	0.800	0.816	0.758	0.806	0.499	0.841	0.604	0.757	0.807
yy1	0.896	0.907	0.872	0.501	0.875	0.908	0.869	0.579	0.698	0.896
ctcf	0.661	0.637	0.587	0.503	0.669	0.881	0.916	0.454	0.603	0.542
cebpb	0.913	0.897	0.827	0.731	0.880	0.604	0.918	0.522	0.740	0.913
mef2a	0.855	0.805	0.868	0.865	0.783	0.805	0.858	0.580	0.795	0.855
esrra	0.755	0.747	0.724	0.707	0.724	0.664	0.722	0.698	0.630	0.693
prdm1	0.941	0.896	0.936	0.815	0.830	0.961	0.939	0.669	0.915	0.941
pax5	0.516	0.506	0.579	0.508	0.521	0.506	0.586	0.484	0.502	0.652
elf1	0.912	0.923	0.918	0.901	0.890	0.927	0.924	0.855	0.822	0.912
