Motif	JASPAR	HOCOMOCO	HOMER	POUR	JOLMA	GUERTIN	ZLAB	TF2DNA	SWISSREGULON	CIS-BP
gata3	0.649	0.727	0.618	0.607	0.673	0.602	0.623	0.556	0.524	0.606
egr1	0.844	0.863	0.841	0.786	0.892	0.882	0.850	0.667	0.884	0.851
hnf4a	0.922	0.908	0.922	0.885	0.899	0.922	0.919	0.633	0.842	0.923
pou2f2	0.804	0.783	0.800	0.752	0.798	0.551	0.807	0.622	0.794	0.804
yy1	0.898	0.903	0.892	0.887	0.865	0.902	0.899	0.634	0.686	0.898
ctcf	0.968	0.967	0.965	0.960	0.941	0.953	0.944	0.433	0.961	0.968
cebpb	0.878	0.858	0.797	0.801	0.839	0.917	0.917	0.552	0.731	0.878
mef2a	0.904	0.873	0.859	0.913	0.858	0.914	0.912	0.603	0.794	0.904
esrra	0.762	0.734	0.750	0.772	0.744	0.745	0.714	0.737	0.756	0.769
prdm1	0.953	0.946	0.923	0.925	0.941	0.959	0.959	0.671	0.947	0.953
pax5	0.783	0.788	0.752	0.777	0.786	0.608	0.775	0.486	0.613	0.771
elf1	0.906	0.914	0.903	0.877	0.893	0.917	0.904	0.845	0.771	0.906
