Motif	JASPAR	HOCOMOCO	HOMER	POUR	JOLMA	GUERTIN	ZLAB	TF2DNA	SWISSREGULON	CIS-BP
gata3	1.239	1.432	1.208	1.192	1.304	1.147	1.194	1.074	1.055	1.167
egr1	1.612	1.660	1.618	1.484	1.701	1.690	1.619	1.276	1.691	1.623
hnf4a	1.817	1.795	1.818	1.747	1.750	1.819	1.796	1.245	1.689	1.818
pou2f2	1.395	1.374	1.396	1.334	1.379	1.078	1.396	1.193	1.385	1.395
yy1	1.710	1.709	1.681	1.658	1.640	1.707	1.691	1.233	1.378	1.710
ctcf	1.926	1.925	1.919	1.906	1.871	1.897	1.877	0.905	1.909	1.925
cebpb	1.754	1.715	1.553	1.561	1.636	1.822	1.819	1.111	1.440	1.754
mef2a	1.754	1.669	1.668	1.775	1.649	1.772	1.777	1.180	1.521	1.754
esrra	1.448	1.408	1.443	1.477	1.407	1.405	1.358	1.412	1.428	1.470
prdm1	1.879	1.875	1.828	1.854	1.856	1.895	1.896	1.435	1.880	1.879
pax5	1.480	1.490	1.424	1.488	1.500	1.171	1.457	0.971	1.183	1.464
elf1	1.767	1.786	1.737	1.669	1.710	1.777	1.742	1.664	1.535	1.767
