Motif	JASPAR	HOCOMOCO	HOMER	POUR	JOLMA	GUERTIN	ZLAB	TF2DNA	SWISSREGULON	CIS-BP
gata3	0.602	0.729	0.569	0.560	0.684	0.591	0.604	0.556	0.531	0.592
egr1	0.880	0.892	0.863	0.778	0.905	0.895	0.640	0.686	0.891	0.818
hnf4a	0.930	0.915	0.921	0.896	0.710	0.926	0.931	0.654	0.875	0.915
pou2f2	0.819	0.790	0.809	0.758	0.805	0.498	0.832	0.604	0.747	0.819
yy1	0.900	0.910	0.877	0.569	0.875	0.909	0.909	0.578	0.699	0.900
ctcf	0.927	0.934	0.844	0.604	0.858	0.952	0.952	0.452	0.814	0.808
cebpb	0.913	0.896	0.825	0.726	0.879	0.929	0.930	0.517	0.749	0.913
mef2a	0.905	0.826	0.869	0.910	0.814	0.913	0.920	0.580	0.794	0.905
esrra	0.751	0.747	0.723	0.780	0.728	0.660	0.721	0.702	0.704	0.762
prdm1	0.958	0.943	0.935	0.815	0.934	0.964	0.968	0.669	0.928	0.958
pax5	0.652	0.639	0.775	0.632	0.651	0.513	0.797	0.483	0.535	0.806
elf1	0.917	0.923	0.918	0.901	0.893	0.927	0.923	0.855	0.818	0.917
