Motif	JASPAR	HOCOMOCO	HOMER	POUR	JOLMA	GUERTIN	ZLAB	TF2DNA	SWISSREGULON	CIS-BP
gata3	1.264	1.446	1.208	1.157	1.365	1.264	1.313	1.113	1.056	1.290
egr1	1.779	1.798	1.713	1.608	1.849	1.807	1.814	1.366	1.827	1.819
hnf4a	1.860	1.818	1.854	1.794	1.611	1.865	1.864	1.305	1.690	1.839
pou2f2	1.734	1.692	1.724	1.601	1.731	1.027	1.766	1.209	1.634	1.734
yy1	1.853	1.867	1.820	1.838	1.758	1.867	1.870	1.206	1.339	1.853
ctcf	1.951	1.951	1.945	1.924	1.860	1.919	1.915	0.931	1.908	1.945
cebpb	1.818	1.770	1.682	1.562	1.765	1.862	1.865	1.061	1.506	1.818
mef2a	1.857	1.746	1.734	1.853	1.708	1.872	1.865	1.103	1.643	1.857
esrra	1.520	1.490	1.453	1.611	1.473	1.402	1.448	1.442	1.467	1.584
prdm1	1.929	1.901	1.871	1.738	1.900	1.938	1.944	1.306	1.884	1.929
pax5	1.693	1.683	1.642	1.657	1.669	1.111	1.651	0.980	1.292	1.663
elf1	1.867	1.860	1.859	1.828	1.839	1.880	1.869	1.720	1.638	1.867
