Motif	JASPAR	HOCOMOCO	HOMER	POUR	JOLMA	GUERTIN	ZLAB	TF2DNA	SWISSREGULON	CIS-BP
gata3	0.610	0.724	0.558	0.563	0.685	0.593	0.599	0.557	0.495	0.584
egr1	0.879	0.892	0.859	0.782	0.905	0.895	0.650	0.690	0.889	0.818
hnf4a	0.924	0.909	0.910	0.891	0.717	0.920	0.928	0.633	0.872	0.913
pou2f2	0.825	0.798	0.815	0.754	0.810	0.498	0.838	0.598	0.751	0.825
yy1	0.900	0.910	0.878	0.567	0.874	0.909	0.909	0.578	0.686	0.900
ctcf	0.927	0.935	0.840	0.602	0.860	0.951	0.952	0.457	0.809	0.808
cebpb	0.912	0.892	0.820	0.730	0.876	0.927	0.929	0.523	0.748	0.912
mef2a	0.906	0.830	0.870	0.908	0.819	0.913	0.917	0.604	0.797	0.906
esrra	0.749	0.735	0.714	0.772	0.724	0.664	0.715	0.697	0.695	0.758
prdm1	0.958	0.944	0.937	0.815	0.938	0.962	0.967	0.658	0.933	0.958
pax5	0.661	0.633	0.773	0.619	0.655	0.513	0.801	0.489	0.536	0.808
elf1	0.916	0.920	0.915	0.899	0.892	0.923	0.923	0.843	0.773	0.916
