Motif	JASPAR	HOCOMOCO	HOMER	POUR	JOLMA	GUERTIN	ZLAB	TF2DNA	SWISSREGULON	CIS-BP
gata3	1.268	1.432	1.196	1.141	1.364	1.262	1.300	1.105	0.996	1.275
egr1	1.773	1.779	1.687	1.608	1.848	1.801	1.815	1.344	1.824	1.819
hnf4a	1.853	1.806	1.849	1.785	1.613	1.857	1.858	1.243	1.679	1.836
pou2f2	1.741	1.681	1.730	1.539	1.735	1.034	1.771	1.187	1.640	1.741
yy1	1.853	1.867	1.822	1.841	1.751	1.867	1.871	1.203	1.271	1.853
ctcf	1.952	1.952	1.945	1.924	1.863	1.919	1.915	0.937	1.910	1.946
cebpb	1.811	1.752	1.668	1.557	1.754	1.856	1.864	1.063	1.501	1.811
mef2a	1.856	1.747	1.738	1.851	1.716	1.871	1.863	1.145	1.642	1.856
esrra	1.512	1.461	1.432	1.601	1.464	1.402	1.433	1.419	1.462	1.580
prdm1	1.930	1.905	1.873	1.721	1.907	1.936	1.943	1.267	1.889	1.930
pax5	1.695	1.684	1.643	1.657	1.673	1.102	1.660	0.990	1.296	1.664
elf1	1.863	1.839	1.848	1.819	1.837	1.869	1.864	1.654	1.423	1.863
