Motif	JASPAR	HOCOMOCO	HOMER	POUR	JOLMA	GUERTIN	ZLAB	TF2DNA	SWISSREGULON	CIS-BP
gata3	0.501	0.489	0.497	0.500	0.499	0.500	0.497	0.502	0.499	0.500
egr1	0.503	0.503	0.502	0.500	0.494	0.496	0.505	0.501	0.498	0.506
hnf4a	0.501	0.495	0.500	0.499	0.500	0.500	0.500	0.501	0.501	0.500
pou2f2	0.501	0.500	0.500	0.500	0.501	0.499	0.501	0.502	0.501	0.501
yy1	0.501	0.501	0.504	0.523	0.501	0.500	0.498	0.499	0.500	0.501
ctcf	0.493	0.508	0.509	0.491	0.495	0.502	0.506	0.501	0.493	0.495
cebpb	0.502	0.501	0.502	0.501	0.505	0.502	0.502	0.500	0.500	0.502
mef2a	0.503	0.503	0.503	0.504	0.503	0.503	0.503	0.503	0.505	0.503
esrra	0.500	0.496	0.499	0.499	0.501	0.511	0.502	0.500	0.499	0.492
prdm1	0.503	0.503	0.499	0.499	0.502	0.482	0.498	0.500	0.502	0.503
pax5	0.503	0.501	0.501	0.502	0.502	0.498	0.501	0.517	0.492	0.502
elf1	0.540	0.506	0.505	0.504	0.499	0.501	0.491	0.498	0.499	0.540
