Motif	JASPAR	HOCOMOCO	HOMER	POUR	JOLMA	GUERTIN	ZLAB	TF2DNA	SWISSREGULON	CIS-BP
gata3	1.005	0.983	1.002	1.005	1.002	1.010	1.002	1.009	0.999	1.004
egr1	1.012	1.008	1.006	1.001	0.994	0.999	1.010	1.005	1.001	1.011
hnf4a	1.003	0.990	0.992	1.002	1.000	0.997	1.003	1.003	1.001	1.003
pou2f2	1.008	1.003	1.005	1.004	1.007	1.004	1.006	1.004	1.008	1.008
yy1	1.005	1.004	1.012	1.040	1.004	1.002	1.003	1.002	1.004	1.005
ctcf	0.991	1.016	1.019	0.990	0.993	1.024	1.016	1.006	1.008	0.997
cebpb	1.009	1.004	1.007	1.006	1.014	1.009	1.008	1.005	1.004	1.009
mef2a	1.010	1.010	1.010	1.011	1.011	1.007	1.008	1.008	1.013	1.010
esrra	1.003	1.004	1.000	1.002	1.005	1.028	1.002	1.004	1.004	1.001
prdm1	1.007	1.007	1.004	0.999	1.005	0.969	1.005	1.004	1.013	1.007
pax5	1.009	1.004	1.004	1.005	1.006	1.003	1.004	1.032	0.992	1.005
elf1	1.073	1.012	1.014	1.008	1.001	1.005	0.985	1.002	1.002	1.073
