Motif	JASPAR	HOCOMOCO	HOMER	POUR	JOLMA	GUERTIN	ZLAB	TF2DNA	SWISSREGULON	CIS-BP
gata3	0.610	0.729	0.564	0.563	0.685	0.593	0.596	0.556	0.532	0.583
egr1	0.880	0.893	0.864	0.783	0.906	0.896	0.620	0.684	0.891	0.762
hnf4a	0.927	0.915	0.915	0.895	0.693	0.925	0.931	0.655	0.876	0.916
pou2f2	0.824	0.800	0.813	0.758	0.806	0.498	0.836	0.604	0.749	0.824
yy1	0.900	0.910	0.880	0.555	0.875	0.909	0.909	0.579	0.698	0.900
ctcf	0.901	0.915	0.812	0.572	0.847	0.951	0.951	0.454	0.793	0.762
cebpb	0.914	0.897	0.827	0.731	0.880	0.929	0.929	0.522	0.751	0.914
mef2a	0.906	0.829	0.868	0.910	0.820	0.910	0.918	0.580	0.796	0.906
esrra	0.755	0.747	0.724	0.774	0.730	0.664	0.722	0.698	0.698	0.755
prdm1	0.957	0.942	0.936	0.815	0.933	0.963	0.968	0.669	0.933	0.957
pax5	0.634	0.618	0.752	0.603	0.617	0.511	0.794	0.484	0.533	0.804
elf1	0.918	0.923	0.918	0.901	0.895	0.927	0.925	0.855	0.822	0.918
