Motif	JASPAR	HOCOMOCO	HOMER	POUR	JOLMA	GUERTIN	ZLAB	TF2DNA	SWISSREGULON	CIS-BP
gata3	1.265	1.446	1.199	1.162	1.365	1.265	1.300	1.114	1.054	1.275
egr1	1.779	1.798	1.715	1.611	1.850	1.807	1.815	1.360	1.826	1.820
hnf4a	1.860	1.818	1.855	1.793	1.618	1.865	1.865	1.307	1.691	1.841
pou2f2	1.740	1.699	1.729	1.605	1.732	1.034	1.770	1.211	1.638	1.740
yy1	1.854	1.868	1.825	1.840	1.758	1.868	1.870	1.206	1.344	1.854
ctcf	1.952	1.952	1.946	1.924	1.865	1.919	1.915	0.933	1.911	1.946
cebpb	1.819	1.771	1.683	1.565	1.767	1.863	1.867	1.064	1.510	1.819
mef2a	1.858	1.746	1.734	1.852	1.718	1.872	1.865	1.102	1.645	1.858
esrra	1.525	1.490	1.455	1.609	1.476	1.405	1.448	1.439	1.467	1.580
prdm1	1.931	1.905	1.872	1.729	1.907	1.937	1.944	1.308	1.891	1.931
pax5	1.696	1.685	1.643	1.658	1.672	1.104	1.653	0.981	1.294	1.663
elf1	1.868	1.860	1.859	1.828	1.841	1.880	1.870	1.721	1.646	1.868
