Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc
MA0162.2.JASPAR	13.670813	1.051601	13	0.844000	0.880000	0.503000	0.880000
EGR1_f2.HOCOMOCO	12.973534	1.297353	10	0.863000	0.892000	0.503000	0.893000
Egr1.HOMER	12.522418	1.391380	9	0.841000	0.863000	0.502000	0.864000
EGR1_disc1.POUR	16.253257	1.805917	9	0.786000	0.778000	0.500000	0.783000
EGR1_disc2.POUR	12.404471	1.378275	9	0.592000	0.578000	0.503000	0.575000
EGR1_disc3.POUR	13.539944	1.504438	9	0.545000	0.522000	0.502000	0.520000
EGR1_disc4.POUR	29.247285	1.218637	24	0.506000	0.503000	0.499000	0.502000
EGR1_disc5.POUR	10.375668	1.482238	7	0.638000	0.633000	0.501000	0.633000
EGR1_disc6.POUR	7.414593	0.741459	10	0.617000	0.608000	0.503000	0.609000
EGR1_disc7.POUR	13.396007	1.488445	9	0.663000	0.639000	0.502000	0.636000
EGR1_DBD.JOLMA	15.876846	1.221296	13	0.892000	0.905000	0.494000	0.906000
EGR1_full.JOLMA	19.489658	1.499204	13	0.876000	0.838000	0.504000	0.837000
Egr1_mouse_DBD_mutant_DBD.JOLMA	18.165413	1.211028	15	0.849000	0.826000	0.505000	0.810000
UP00007_1.UNIPROBE	14.027674	1.079052	13	0.857000	0.877000	0.504000	0.878000
UP00007_2.UNIPROBE	9.457575	0.630505	15	0.564000	0.497000	0.506000	0.499000
UP00007.1.ZHAO2011	14.475177	0.851481	17	0.646000	0.516000	0.500000	0.515000
UP00007.2.ZHAO2011	15.349149	0.902891	17	0.658000	0.522000	0.500000	0.519000
UP00400.1.ZHAO2011	3.826546	0.425172	9	0.437000	0.498000	0.498000	0.498000
UP00400.2.ZHAO2011	6.027948	0.669772	9	0.840000	0.819000	0.503000	0.819000
EGR1_1.3DFOOTPRINT	16.250000	1.805556	9	0.779000	0.632000	0.503000	0.639000
EGR1_2.3DFOOTPRINT	15.202047	1.900256	8	0.727000	0.618000	0.501000	0.617000
EGR1_3.3DFOOTPRINT	13.336498	1.667062	8	0.708000	0.605000	0.502000	0.605000
EGR1_1.GUERTIN	12.792505	0.852834	15	0.882000	0.895000	0.496000	0.896000
EGR1_2.GUERTIN	23.250564	1.223714	19	0.491000	0.499000	0.495000	0.499000
EGR1_3.GUERTIN	10.329926	0.688662	15	0.535000	0.515000	0.495000	0.512000
EGR1_4.GUERTIN	27.261338	1.434807	19	0.505000	0.501000	0.502000	0.501000
EGR1.1_1.ZLAB	16.959548	0.807598	21	0.850000	0.640000	0.505000	0.620000
EGR1.1_2.ZLAB	11.973215	0.855230	14	0.610000	0.586000	0.489000	0.576000
EGR1.1_3.ZLAB	21.440999	1.128474	19	0.628000	0.507000	0.503000	0.505000
EGR1.1_4.ZLAB	16.412984	1.172356	14	0.553000	0.534000	0.503000	0.531000
EGR1.1_5.ZLAB	17.419998	1.244286	14	0.600000	0.570000	0.505000	0.566000
Egr1.TF2DNA	10.231428	1.461633	7	0.667000	0.686000	0.501000	0.684000
EGR1.SWISSREGULON	17.044926	1.549539	11	0.884000	0.891000	0.498000	0.891000
M4459_1.02.CIS-BP	16.534271	0.870225	19	0.851000	0.818000	0.506000	0.762000
