Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc
MA0162.2.JASPAR	13.670813	1.051601	13	1.612000	1.779000	1.012000	1.779000
EGR1_f2.HOCOMOCO	12.973534	1.297353	10	1.660000	1.798000	1.008000	1.798000
Egr1.HOMER	12.522418	1.391380	9	1.618000	1.713000	1.006000	1.715000
EGR1_disc1.POUR	16.253257	1.805917	9	1.484000	1.608000	1.001000	1.611000
EGR1_disc2.POUR	12.404471	1.378275	9	1.111000	1.237000	1.009000	1.234000
EGR1_disc3.POUR	13.539944	1.504438	9	1.097000	1.107000	1.005000	1.108000
EGR1_disc4.POUR	29.247285	1.218637	24	1.008000	0.990000	1.007000	0.990000
EGR1_disc5.POUR	10.375668	1.482238	7	1.237000	1.291000	1.006000	1.289000
EGR1_disc6.POUR	7.414593	0.741459	10	1.199000	1.184000	1.007000	1.185000
EGR1_disc7.POUR	13.396007	1.488445	9	1.317000	1.321000	1.014000	1.319000
EGR1_DBD.JOLMA	15.876846	1.221296	13	1.701000	1.849000	0.994000	1.850000
EGR1_full.JOLMA	19.489658	1.499204	13	1.664000	1.753000	1.011000	1.756000
Egr1_mouse_DBD_mutant_DBD.JOLMA	18.165413	1.211028	15	1.628000	1.728000	1.009000	1.729000
UP00007_1.UNIPROBE	14.027674	1.079052	13	1.639000	1.785000	1.010000	1.786000
UP00007_2.UNIPROBE	9.457575	0.630505	15	1.158000	1.003000	1.011000	1.003000
UP00007.1.ZHAO2011	14.475177	0.851481	17	1.266000	1.101000	1.003000	1.099000
UP00007.2.ZHAO2011	15.349149	0.902891	17	1.290000	1.097000	1.003000	1.096000
UP00400.1.ZHAO2011	3.826546	0.425172	9	0.931000	0.978000	1.000000	0.977000
UP00400.2.ZHAO2011	6.027948	0.669772	9	1.611000	1.629000	1.011000	1.628000
EGR1_1.3DFOOTPRINT	16.250000	1.805556	9	1.523000	1.370000	1.019000	1.376000
EGR1_2.3DFOOTPRINT	15.202047	1.900256	8	1.416000	1.331000	1.009000	1.334000
EGR1_3.3DFOOTPRINT	13.336498	1.667062	8	1.369000	1.316000	1.009000	1.316000
EGR1_1.GUERTIN	12.792505	0.852834	15	1.690000	1.807000	0.999000	1.807000
EGR1_2.GUERTIN	23.250564	1.223714	19	1.002000	1.052000	0.996000	1.051000
EGR1_3.GUERTIN	10.329926	0.688662	15	1.061000	1.093000	0.996000	1.091000
EGR1_4.GUERTIN	27.261338	1.434807	19	1.012000	1.030000	1.010000	1.021000
EGR1.1_1.ZLAB	16.959548	0.807598	21	1.619000	1.814000	1.010000	1.815000
EGR1.1_2.ZLAB	11.973215	0.855230	14	1.216000	1.160000	1.003000	1.159000
EGR1.1_3.ZLAB	21.440999	1.128474	19	1.219000	1.049000	1.008000	1.040000
EGR1.1_4.ZLAB	16.412984	1.172356	14	1.095000	1.129000	1.007000	1.124000
EGR1.1_5.ZLAB	17.419998	1.244286	14	1.166000	1.195000	1.011000	1.190000
Egr1.TF2DNA	10.231428	1.461633	7	1.276000	1.366000	1.005000	1.360000
EGR1.SWISSREGULON	17.044926	1.549539	11	1.691000	1.827000	1.001000	1.826000
M4459_1.02.CIS-BP	16.534271	0.870225	19	1.623000	1.819000	1.011000	1.820000
