Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc
MA0473.1.JASPAR	13.613622	1.134468	12	0.906000	0.917000	0.540000	0.918000
ELF1_f1.HOCOMOCO	10.800096	1.200011	9	0.914000	0.923000	0.506000	0.923000
ELF1.HOMER	10.960876	1.217875	9	0.903000	0.918000	0.505000	0.918000
ELF1_disc1.POUR	13.678178	1.519798	9	0.877000	0.901000	0.504000	0.901000
ELF1_disc2.POUR	7.756114	0.861790	9	0.759000	0.696000	0.500000	0.697000
ELF1_disc3.POUR	6.823400	0.568617	12	0.540000	0.516000	0.501000	0.516000
ELF1_DBD.JOLMA	15.854290	1.441299	11	0.893000	0.893000	0.499000	0.895000
ELF1_full.JOLMA	16.097807	1.463437	11	0.890000	0.813000	0.526000	0.815000
h-ELF1.WEIHUMAN	9.947519	1.105280	9	0.899000	0.915000	0.493000	0.916000
h-ELF1.WEIMOUSE	11.110486	1.234498	9	0.894000	0.913000	0.498000	0.914000
ELF1_1.GUERTIN	10.892529	0.990230	11	0.917000	0.927000	0.501000	0.927000
ELF1_2.GUERTIN	12.695897	1.586987	8	0.561000	0.595000	0.499000	0.595000
ELF1_3.GUERTIN	20.797701	1.386513	15	0.595000	0.547000	0.504000	0.540000
ELF1_4.GUERTIN	18.646223	1.331873	14	0.510000	0.522000	0.503000	0.529000
ELF1.1_1.ZLAB	13.159554	1.315955	10	0.904000	0.923000	0.491000	0.925000
ELF1.1_2.ZLAB	10.954258	1.095426	10	0.885000	0.903000	0.509000	0.903000
ELF1.1_3.ZLAB	24.439730	1.221987	20	0.626000	0.525000	0.514000	0.523000
ELF1.1_4.ZLAB	15.714579	1.571458	10	0.554000	0.553000	0.501000	0.550000
ELF1.1_5.ZLAB	12.648338	1.264834	10	0.704000	0.628000	0.513000	0.623000
Elf1.TF2DNA	9.224568	1.317795	7	0.845000	0.855000	0.498000	0.855000
ELF1.SWISSREGULON	10.831459	1.805243	6	0.771000	0.818000	0.499000	0.822000
M2275_1.02.CIS-BP	13.613622	1.134468	12	0.906000	0.917000	0.540000	0.918000
