Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc
MA0473.1.JASPAR	13.613622	1.134468	12	1.767000	1.867000	1.073000	1.868000
ELF1_f1.HOCOMOCO	10.800096	1.200011	9	1.786000	1.860000	1.012000	1.860000
ELF1.HOMER	10.960876	1.217875	9	1.737000	1.859000	1.014000	1.859000
ELF1_disc1.POUR	13.678178	1.519798	9	1.669000	1.828000	1.008000	1.828000
ELF1_disc2.POUR	7.756114	0.861790	9	1.478000	1.388000	1.003000	1.388000
ELF1_disc3.POUR	6.823400	0.568617	12	1.076000	1.027000	1.005000	1.027000
ELF1_DBD.JOLMA	15.854290	1.441299	11	1.710000	1.839000	1.001000	1.841000
ELF1_full.JOLMA	16.097807	1.463437	11	1.703000	1.719000	1.043000	1.721000
h-ELF1.WEIHUMAN	9.947519	1.105280	9	1.739000	1.846000	0.989000	1.847000
h-ELF1.WEIMOUSE	11.110486	1.234498	9	1.731000	1.842000	0.999000	1.843000
ELF1_1.GUERTIN	10.892529	0.990230	11	1.777000	1.880000	1.005000	1.880000
ELF1_2.GUERTIN	12.695897	1.586987	8	1.060000	1.194000	1.000000	1.193000
ELF1_3.GUERTIN	20.797701	1.386513	15	1.168000	1.181000	1.010000	1.165000
ELF1_4.GUERTIN	18.646223	1.331873	14	1.018000	1.093000	1.006000	1.104000
ELF1.1_1.ZLAB	13.159554	1.315955	10	1.742000	1.869000	0.985000	1.870000
ELF1.1_2.ZLAB	10.954258	1.095426	10	1.715000	1.807000	1.016000	1.808000
ELF1.1_3.ZLAB	24.439730	1.221987	20	1.217000	1.125000	1.030000	1.116000
ELF1.1_4.ZLAB	15.714579	1.571458	10	1.072000	1.150000	1.009000	1.147000
ELF1.1_5.ZLAB	12.648338	1.264834	10	1.400000	1.313000	1.020000	1.308000
Elf1.TF2DNA	9.224568	1.317795	7	1.664000	1.720000	1.002000	1.721000
ELF1.SWISSREGULON	10.831459	1.805243	6	1.535000	1.638000	1.002000	1.646000
M2275_1.02.CIS-BP	13.613622	1.134468	12	1.767000	1.867000	1.073000	1.868000
