Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc
MA0592.1.JASPAR	13.611902	1.361190	10	0.762000	0.751000	0.500000	0.755000
ERR1_f1.HOCOMOCO	10.089660	1.261207	8	0.734000	0.747000	0.496000	0.747000
Erra.HOMER	10.838450	1.204272	9	0.750000	0.723000	0.499000	0.724000
ESRRA_disc1.POUR	12.274573	0.876755	14	0.772000	0.780000	0.499000	0.774000
ESRRA_disc2.POUR	11.909616	0.992468	12	0.707000	0.718000	0.512000	0.717000
ESRRA_disc3.POUR	7.330332	0.814481	9	0.712000	0.697000	0.500000	0.698000
ESRRA_disc4.POUR	7.375097	0.567315	13	0.581000	0.562000	0.500000	0.562000
ESRRA_DBD_1.JOLMA	13.582472	1.358247	10	0.744000	0.728000	0.501000	0.730000
ESRRA_DBD_2.JOLMA	21.814163	1.363385	16	0.594000	0.535000	0.503000	0.522000
ESRRA_DBD_3.JOLMA	21.895133	1.216396	18	0.608000	0.515000	0.502000	0.511000
ESRRA_DBD_4.JOLMA	11.741767	1.174177	10	0.746000	0.737000	0.505000	0.739000
ESRRA_DBD_5.JOLMA	20.709509	1.294344	16	0.595000	0.535000	0.496000	0.527000
ESRRA_DBD_6.JOLMA	19.492825	1.082935	18	0.619000	0.518000	0.498000	0.513000
Esrra_DBD_1.JOLMA	24.564763	1.535298	16	0.605000	0.519000	0.497000	0.511000
Esrra_DBD_2.JOLMA	17.041804	1.704180	10	0.725000	0.642000	0.502000	0.646000
UP00079_1.UNIPROBE	13.113559	0.819597	16	0.726000	0.644000	0.501000	0.633000
UP00079_2.UNIPROBE	13.045204	0.815325	16	0.596000	0.554000	0.499000	0.551000
UP00079.1.ZHAO2011	16.403732	1.093582	15	0.588000	0.511000	0.499000	0.510000
UP00079.2.ZHAO2011	16.819768	1.121318	15	0.567000	0.510000	0.499000	0.506000
ERRA_1.GUERTIN	13.897442	1.263404	11	0.745000	0.660000	0.511000	0.664000
ERRA_2.GUERTIN	15.561243	1.037416	15	0.482000	0.510000	0.496000	0.511000
ERRA_3.GUERTIN	19.400329	1.021070	19	0.518000	0.502000	0.496000	0.501000
ERRA_4.GUERTIN	22.165707	1.166616	19	0.508000	0.505000	0.503000	0.504000
ESRRA.1_1.ZLAB	11.063599	1.106360	10	0.714000	0.721000	0.502000	0.722000
ESRRA.1_2.ZLAB	29.957259	1.069902	28	0.513000	0.500000	0.497000	0.500000
ESRRA.1_3.ZLAB	11.024292	1.102429	10	0.641000	0.639000	0.500000	0.639000
ESRRA.1_4.ZLAB	45.553531	1.626912	28	0.554000	0.500000	0.497000	0.500000
ESRRA.1_5.ZLAB	17.849752	1.487479	12	0.468000	0.509000	0.500000	0.510000
Esrra.TF2DNA	11.473034	1.639005	7	0.737000	0.702000	0.500000	0.698000
ESRRA.SWISSREGULON	15.436299	1.187408	13	0.756000	0.704000	0.499000	0.698000
M4438_1.02.CIS-BP	12.962783	0.925913	14	0.769000	0.762000	0.492000	0.755000
