Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc
MA0592.1.JASPAR	13.611902	1.361190	10	1.448000	1.520000	1.003000	1.525000
ERR1_f1.HOCOMOCO	10.089660	1.261207	8	1.408000	1.490000	1.004000	1.490000
Erra.HOMER	10.838450	1.204272	9	1.443000	1.453000	1.000000	1.455000
ESRRA_disc1.POUR	12.274573	0.876755	14	1.477000	1.611000	1.002000	1.609000
ESRRA_disc2.POUR	11.909616	0.992468	12	1.346000	1.453000	1.014000	1.451000
ESRRA_disc3.POUR	7.330332	0.814481	9	1.387000	1.403000	1.003000	1.404000
ESRRA_disc4.POUR	7.375097	0.567315	13	1.141000	1.101000	1.003000	1.102000
ESRRA_DBD_1.JOLMA	13.582472	1.358247	10	1.407000	1.473000	1.005000	1.476000
ESRRA_DBD_2.JOLMA	21.814163	1.363385	16	1.157000	1.174000	1.012000	1.143000
ESRRA_DBD_3.JOLMA	21.895133	1.216396	18	1.185000	1.191000	1.014000	1.140000
ESRRA_DBD_4.JOLMA	11.741767	1.174177	10	1.411000	1.487000	1.010000	1.488000
ESRRA_DBD_5.JOLMA	20.709509	1.294344	16	1.149000	1.169000	1.001000	1.130000
ESRRA_DBD_6.JOLMA	19.492825	1.082935	18	1.203000	1.193000	1.000000	1.145000
Esrra_DBD_1.JOLMA	24.564763	1.535298	16	1.184000	1.117000	1.000000	1.071000
Esrra_DBD_2.JOLMA	17.041804	1.704180	10	1.369000	1.335000	1.005000	1.337000
UP00079_1.UNIPROBE	13.113559	0.819597	16	1.378000	1.466000	1.006000	1.469000
UP00079_2.UNIPROBE	13.045204	0.815325	16	1.189000	1.252000	1.000000	1.258000
UP00079.1.ZHAO2011	16.403732	1.093582	15	1.152000	1.045000	0.999000	1.040000
UP00079.2.ZHAO2011	16.819768	1.121318	15	1.102000	1.038000	0.998000	1.006000
ERRA_1.GUERTIN	13.897442	1.263404	11	1.405000	1.402000	1.028000	1.405000
ERRA_2.GUERTIN	15.561243	1.037416	15	0.983000	1.038000	0.994000	1.037000
ERRA_3.GUERTIN	19.400329	1.021070	19	1.035000	1.088000	0.997000	1.082000
ERRA_4.GUERTIN	22.165707	1.166616	19	1.002000	1.007000	1.006000	1.011000
ESRRA.1_1.ZLAB	11.063599	1.106360	10	1.358000	1.448000	1.002000	1.448000
ESRRA.1_2.ZLAB	29.957259	1.069902	28	1.026000	1.017000	1.000000	1.012000
ESRRA.1_3.ZLAB	11.024292	1.102429	10	1.273000	1.260000	0.999000	1.260000
ESRRA.1_4.ZLAB	45.553531	1.626912	28	1.068000	1.023000	1.003000	1.012000
ESRRA.1_5.ZLAB	17.849752	1.487479	12	0.942000	1.036000	1.009000	1.040000
Esrra.TF2DNA	11.473034	1.639005	7	1.412000	1.442000	1.004000	1.439000
ESRRA.SWISSREGULON	15.436299	1.187408	13	1.428000	1.467000	1.004000	1.467000
M4438_1.02.CIS-BP	12.962783	0.925913	14	1.470000	1.584000	1.001000	1.580000
