Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc
ETS1_si.HOCOMOCO	9.246927	1.155866	8	1.277000	1.393000	0.999000	1.394000
ETS1.HOMER	12.501198	1.389022	9	1.306000	1.420000	1.001000	1.424000
Ets1-distal.HOMER	13.528256	1.503140	9	1.186000	1.303000	1.008000	1.301000
ETS.HOMER	12.798834	1.422093	9	1.256000	1.416000	1.008000	1.417000
ETS_disc1.POUR	20.371086	1.567007	13	1.376000	1.459000	1.024000	1.440000
ETS_disc2.POUR	14.613464	1.623718	9	1.260000	1.371000	1.011000	1.376000
ETS_disc3.POUR	15.882864	1.764763	9	1.046000	1.165000	1.001000	1.166000
ETS_disc4.POUR	10.224806	1.136090	9	1.142000	1.225000	1.006000	1.225000
ETS_disc5.POUR	6.384265	0.912038	7	1.151000	1.228000	1.008000	1.229000
ETS_disc6.POUR	11.469650	1.274406	9	1.034000	1.075000	1.002000	1.076000
ETS_disc7.POUR	7.248802	0.557600	13	1.311000	1.432000	1.004000	1.432000
ETS_disc8.POUR	9.925351	1.417907	7	1.078000	1.141000	1.000000	1.142000
ETS_disc9.POUR	7.120505	0.647319	11	1.036000	1.098000	1.002000	1.098000
ETS1_DBD_1.JOLMA	11.419462	1.268829	9	1.279000	1.403000	1.000000	1.406000
ETS1_DBD_2.JOLMA	20.141418	1.184789	17	1.061000	1.115000	1.010000	1.094000
ETS1_full_1.JOLMA	10.832752	1.203639	9	1.245000	1.413000	1.001000	1.415000
ETS1_full_2.JOLMA	23.893774	1.405516	17	1.092000	1.087000	0.972000	1.056000
h-ETS1.WEIHUMAN	9.963108	1.107012	9	1.270000	1.422000	1.000000	1.422000
h-ETS1.WEIMOUSE	10.043202	1.115911	9	1.234000	1.409000	1.000000	1.410000
m-ETS1.WEIMOUSE	11.725749	1.302861	9	1.284000	1.391000	1.005000	1.393000
UP00414.1.ZHAO2011	16.555588	0.871347	19	1.002000	1.079000	1.013000	1.054000
ETS-1.3DFOOTPRINT	9.907641	0.707689	14	1.051000	1.112000	0.986000	1.109000
ETS1_1.3DFOOTPRINT	3.391691	1.130564	3	1.002000	1.003000	1.005000	1.004000
C-ets1_1.3DFOOTPRINT	17.473606	1.344124	13	1.013000	1.050000	0.997000	1.025000
C-ets1_2.3DFOOTPRINT	7.336498	1.467300	5	1.193000	1.274000	1.005000	1.262000
ETS1_8.3DFOOTPRINT	6.321029	1.580257	4	1.011000	1.005000	1.003000	1.055000
ETS1_2.3DFOOTPRINT	11.731748	0.977646	12	1.008000	1.048000	1.000000	1.047000
ETS1_3.3DFOOTPRINT	6.381618	1.595405	4	1.093000	1.042000	1.007000	1.208000
ETS1_4.3DFOOTPRINT	7.278835	1.455767	5	1.066000	1.035000	1.005000	1.044000
ETS1_5.3DFOOTPRINT	6.878133	1.375627	5	1.063000	1.036000	1.003000	1.047000
ETS1_6.3DFOOTPRINT	5.202047	1.734016	3	1.001000	1.001000	1.001000	1.004000
ETS1_7.3DFOOTPRINT	7.278835	1.455767	5	1.225000	1.306000	1.005000	1.302000
ETS1_1.GUERTIN	22.690291	1.194226	19	1.376000	1.660000	1.072000	1.660000
ETS1_2.GUERTIN	18.233629	1.402587	13	1.005000	1.131000	1.008000	1.133000
ETS1_3.GUERTIN	11.201802	1.400225	8	1.223000	1.263000	1.006000	1.260000
ETS1_4.GUERTIN	12.132876	0.638572	19	1.017000	1.054000	1.002000	1.047000
ETS1.2_1.ZLAB	9.513985	1.057109	9	0.925000	1.003000	1.027000	1.003000
ETS1.2_2.ZLAB	11.560929	1.156093	10	1.186000	1.171000	1.007000	1.165000
ETS1.2_3.ZLAB	12.217494	1.745356	7	0.988000	0.989000	0.998000	0.988000
ETS1.2_4.ZLAB	15.532202	1.109443	14	1.015000	1.002000	0.985000	1.006000
ETS1.2_5.ZLAB	16.177118	0.898729	18	1.030000	1.058000	0.998000	1.059000
Ets1.TF2DNA	10.034985	1.254373	8	1.334000	1.389000	1.005000	1.387000
ETS1.SWISSREGULON	13.790729	1.060825	13	1.210000	1.351000	1.006000	1.352000
M4461_1.02.CIS-BP	23.526799	1.176340	20	1.409000	1.645000	1.026000	1.649000
