Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc
MA0037.2.JASPAR	11.796234	1.685176	7	0.649000	0.602000	0.501000	0.610000
GATA3_si.HOCOMOCO	8.769070	1.252724	7	0.727000	0.729000	0.489000	0.729000
GATA3_1.HOMER	16.031944	1.145139	14	0.618000	0.569000	0.497000	0.564000
GATA3_2.HOMER	15.724328	0.827596	19	0.631000	0.529000	0.498000	0.526000
GATA3_3.HOMER	14.720967	0.774788	19	0.623000	0.557000	0.497000	0.556000
GATA3_4.HOMER	14.018997	1.001357	14	0.602000	0.592000	0.497000	0.579000
GATA3_5.HOMER	8.223262	1.174752	7	0.682000	0.689000	0.500000	0.689000
GATA_disc4.POUR	11.632009	1.661716	7	0.607000	0.560000	0.500000	0.563000
GATA_disc5.POUR	13.701205	1.712651	8	0.525000	0.513000	0.501000	0.519000
GATA3_DBD.JOLMA	7.714744	1.102106	7	0.673000	0.684000	0.499000	0.685000
GATA3_full.JOLMA	6.920683	0.988669	7	0.675000	0.684000	0.500000	0.684000
UP00032_1.UNIPROBE	14.254147	0.678769	21	0.674000	0.506000	0.496000	0.504000
UP00032_2.UNIPROBE	9.586398	0.456495	21	0.594000	0.502000	0.496000	0.500000
UP00032.1.ZHAO2011	17.892109	0.777918	23	0.519000	0.500000	0.493000	0.500000
UP00032.2.ZHAO2011	14.623167	0.860186	17	0.535000	0.499000	0.497000	0.501000
UP00032.3.ZHAO2011	15.403291	0.906076	17	0.524000	0.501000	0.497000	0.499000
UP00032.4.ZHAO2011	19.107891	0.489946	39	0.503000	0.500000	0.498000	0.500000
GATA3_1.3DFOOTPRINT	11.356255	1.261806	9	0.607000	0.616000	0.498000	0.617000
GATA3_2.3DFOOTPRINT	12.899476	1.289948	10	0.526000	0.542000	0.501000	0.540000
GATA3_3.3DFOOTPRINT	2.702648	0.900883	3	0.500000	0.500000	0.500000	0.500000
GATA3_1.GUERTIN	12.991875	1.181080	11	0.602000	0.591000	0.500000	0.593000
GATA3_2.GUERTIN	13.625243	1.238658	11	0.659000	0.622000	0.497000	0.620000
GATA3_3.GUERTIN	10.052209	1.675368	6	0.558000	0.576000	0.500000	0.576000
GATA3_4.GUERTIN	9.033954	1.505659	6	0.559000	0.562000	0.502000	0.562000
GATA3.2_1.ZLAB	14.841083	1.060077	14	0.623000	0.604000	0.497000	0.596000
GATA3.2_2.ZLAB	12.608394	0.900600	14	0.637000	0.623000	0.502000	0.619000
GATA3.2_3.ZLAB	10.878944	1.087894	10	0.646000	0.633000	0.498000	0.630000
GATA3.2_4.ZLAB	10.878159	1.087816	10	0.558000	0.546000	0.503000	0.546000
GATA3.2_5.ZLAB	37.197513	1.430674	26	0.541000	0.501000	0.498000	0.501000
Gata3.TF2DNA	8.694524	1.242075	7	0.556000	0.556000	0.502000	0.556000
GATA3.SWISSREGULON	8.028356	1.605671	5	0.524000	0.531000	0.499000	0.532000
M4665_1.02.CIS-BP	15.006038	1.071860	14	0.606000	0.592000	0.500000	0.583000
