Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc
MA0037.2.JASPAR	11.796234	1.685176	7	1.239000	1.264000	1.005000	1.265000
GATA3_si.HOCOMOCO	8.769070	1.252724	7	1.432000	1.446000	0.983000	1.446000
GATA3_1.HOMER	16.031944	1.145139	14	1.208000	1.208000	1.002000	1.199000
GATA3_2.HOMER	15.724328	0.827596	19	1.216000	1.221000	1.005000	1.204000
GATA3_3.HOMER	14.720967	0.774788	19	1.186000	1.289000	1.002000	1.275000
GATA3_4.HOMER	14.018997	1.001357	14	1.149000	1.289000	1.001000	1.276000
GATA3_5.HOMER	8.223262	1.174752	7	1.311000	1.383000	1.003000	1.382000
GATA_disc4.POUR	11.632009	1.661716	7	1.192000	1.157000	1.005000	1.162000
GATA_disc5.POUR	13.701205	1.712651	8	1.048000	1.042000	1.004000	1.041000
GATA3_DBD.JOLMA	7.714744	1.102106	7	1.304000	1.365000	1.002000	1.365000
GATA3_full.JOLMA	6.920683	0.988669	7	1.302000	1.367000	1.003000	1.367000
UP00032_1.UNIPROBE	14.254147	0.678769	21	1.285000	1.397000	1.004000	1.401000
UP00032_2.UNIPROBE	9.586398	0.456495	21	1.143000	1.261000	1.002000	1.260000
UP00032.1.ZHAO2011	17.892109	0.777918	23	1.017000	1.067000	1.000000	1.048000
UP00032.2.ZHAO2011	14.623167	0.860186	17	1.088000	1.023000	1.005000	1.022000
UP00032.3.ZHAO2011	15.403291	0.906076	17	1.065000	1.014000	1.005000	1.007000
UP00032.4.ZHAO2011	19.107891	0.489946	39	1.005000	1.001000	1.005000	1.016000
GATA3_1.3DFOOTPRINT	11.356255	1.261806	9	1.198000	1.216000	1.001000	1.216000
GATA3_2.3DFOOTPRINT	12.899476	1.289948	10	1.045000	1.085000	1.004000	1.083000
GATA3_3.3DFOOTPRINT	2.702648	0.900883	3	1.002000	1.004000	1.005000	1.004000
GATA3_1.GUERTIN	12.991875	1.181080	11	1.147000	1.264000	1.010000	1.265000
GATA3_2.GUERTIN	13.625243	1.238658	11	1.249000	1.331000	1.000000	1.329000
GATA3_3.GUERTIN	10.052209	1.675368	6	1.097000	1.139000	1.001000	1.140000
GATA3_4.GUERTIN	9.033954	1.505659	6	1.093000	1.127000	1.005000	1.127000
GATA3.2_1.ZLAB	14.841083	1.060077	14	1.194000	1.313000	1.002000	1.300000
GATA3.2_2.ZLAB	12.608394	0.900600	14	1.218000	1.316000	1.011000	1.310000
GATA3.2_3.ZLAB	10.878944	1.087894	10	1.218000	1.316000	1.001000	1.314000
GATA3.2_4.ZLAB	10.878159	1.087816	10	1.086000	1.113000	1.002000	1.111000
GATA3.2_5.ZLAB	37.197513	1.430674	26	1.072000	1.016000	1.004000	1.018000
Gata3.TF2DNA	8.694524	1.242075	7	1.074000	1.113000	1.009000	1.114000
GATA3.SWISSREGULON	8.028356	1.605671	5	1.055000	1.056000	0.999000	1.054000
M4665_1.02.CIS-BP	15.006038	1.071860	14	1.167000	1.290000	1.004000	1.275000
