Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc
MA0114.2.JASPAR	13.594652	0.971047	14	0.922000	0.930000	0.501000	0.927000
HNF4A_f1.HOCOMOCO	11.038071	0.919839	12	0.908000	0.915000	0.495000	0.915000
HNF4a.HOMER	13.555937	0.903729	15	0.922000	0.921000	0.500000	0.915000
HNF4_disc1.POUR	11.983086	0.998591	12	0.885000	0.896000	0.499000	0.895000
HNF4_disc2.POUR	12.974968	1.621871	8	0.671000	0.564000	0.501000	0.566000
HNF4_disc3.POUR	13.386143	1.673268	8	0.700000	0.632000	0.519000	0.633000
HNF4_disc4.POUR	13.064848	1.633106	8	0.507000	0.510000	0.497000	0.509000
HNF4_disc5.POUR	13.476305	1.684538	8	0.590000	0.566000	0.500000	0.551000
HNF4A_DBD_1.JOLMA	20.108220	1.340548	15	0.899000	0.710000	0.500000	0.693000
HNF4A_DBD_2.JOLMA	19.586791	1.305786	15	0.872000	0.719000	0.500000	0.690000
HNF4A_full_1.JOLMA	20.991326	1.399422	15	0.904000	0.753000	0.503000	0.738000
HNF4A_full_2.JOLMA	21.289524	1.637656	13	0.839000	0.694000	0.500000	0.686000
HNF4A_full_3.JOLMA	20.773926	1.384928	15	0.884000	0.734000	0.503000	0.728000
HNF4A_full_4.JOLMA	20.469538	1.462110	14	0.859000	0.744000	0.501000	0.737000
Hnf4a_DBD.JOLMA	21.275946	1.418396	15	0.874000	0.714000	0.499000	0.700000
hnf4.MacIsaac	9.488705	1.355529	7	0.611000	0.620000	0.500000	0.621000
hnf4_1.MacIsaac	11.211566	0.862428	13	0.521000	0.524000	0.499000	0.523000
hnf4_2.MacIsaac	14.049867	1.003562	14	0.525000	0.497000	0.497000	0.500000
hnf4_3.MacIsaac	17.623317	1.258808	14	0.561000	0.523000	0.501000	0.513000
hnf4_4.MacIsaac	15.120919	1.374629	11	0.511000	0.506000	0.501000	0.507000
hnf4_5.MacIsaac	13.201769	1.320177	10	0.675000	0.683000	0.499000	0.690000
hnf4_6.MacIsaac	15.229971	1.015331	15	0.489000	0.499000	0.500000	0.492000
hnf4_7.MacIsaac	18.867573	1.451352	13	0.760000	0.702000	0.500000	0.690000
UP00066_1.UNIPROBE	12.442590	0.777662	16	0.558000	0.569000	0.495000	0.542000
UP00066_2.UNIPROBE	14.032859	0.935524	15	0.830000	0.777000	0.499000	0.763000
UP00066.1.ZHAO2011	19.990326	1.052122	19	0.504000	0.500000	0.501000	0.500000
UP00066.2.ZHAO2011	13.391269	0.743959	18	0.469000	0.495000	0.500000	0.495000
Hnf4a_1.3DFOOTPRINT	4.955005	1.238751	4	0.533000	0.572000	0.500000	0.567000
Hnf4a_2.3DFOOTPRINT	14.821897	1.347445	11	0.694000	0.663000	0.499000	0.662000
Hnf4a_3.3DFOOTPRINT	10.133151	1.013315	10	0.537000	0.517000	0.500000	0.517000
Hnf4a_4.3DFOOTPRINT	3.975915	0.993979	4	0.525000	0.522000	0.500000	0.523000
Hnf4a_5.3DFOOTPRINT	15.033036	1.366640	11	0.625000	0.532000	0.499000	0.526000
HNF4A_1.GUERTIN	12.178543	0.811903	15	0.922000	0.926000	0.500000	0.925000
HNF4A_2.GUERTIN	15.363877	1.024258	15	0.506000	0.509000	0.494000	0.502000
HNF4A_3.GUERTIN	23.163208	1.544214	15	0.566000	0.512000	0.499000	0.512000
HNF4A_4.GUERTIN	12.706169	0.668746	19	0.543000	0.520000	0.500000	0.516000
HNF4.1_1.ZLAB	12.463622	0.958740	13	0.919000	0.931000	0.500000	0.931000
HNF4.1_2.ZLAB	11.374301	1.624900	7	0.562000	0.572000	0.500000	0.573000
HNF4.1_3.ZLAB	11.036943	1.103694	10	0.747000	0.759000	0.502000	0.758000
HNF4.1_4.ZLAB	12.689349	1.268935	10	0.511000	0.522000	0.501000	0.528000
HNF4.1_5.ZLAB	13.083259	1.308326	10	0.487000	0.512000	0.500000	0.520000
Hnf4a.TF2DNA	8.738937	1.248420	7	0.633000	0.654000	0.501000	0.655000
HNF4A.SWISSREGULON	11.532266	0.887097	13	0.842000	0.875000	0.501000	0.876000
M4698_1.02.CIS-BP	13.573942	0.969567	14	0.923000	0.915000	0.500000	0.916000
