Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc
MA0114.2.JASPAR	13.594652	0.971047	14	1.817000	1.860000	1.003000	1.860000
HNF4A_f1.HOCOMOCO	11.038071	0.919839	12	1.795000	1.818000	0.990000	1.818000
HNF4a.HOMER	13.555937	0.903729	15	1.818000	1.854000	0.992000	1.855000
HNF4_disc1.POUR	11.983086	0.998591	12	1.747000	1.794000	1.002000	1.793000
HNF4_disc2.POUR	12.974968	1.621871	8	1.300000	1.201000	1.003000	1.202000
HNF4_disc3.POUR	13.386143	1.673268	8	1.360000	1.340000	1.031000	1.338000
HNF4_disc4.POUR	13.064848	1.633106	8	0.971000	1.080000	0.999000	1.078000
HNF4_disc5.POUR	13.476305	1.684538	8	1.139000	1.171000	1.007000	1.155000
HNF4A_DBD_1.JOLMA	20.108220	1.340548	15	1.750000	1.611000	1.000000	1.618000
HNF4A_DBD_2.JOLMA	19.586791	1.305786	15	1.696000	1.611000	1.002000	1.617000
HNF4A_full_1.JOLMA	20.991326	1.399422	15	1.762000	1.712000	1.004000	1.729000
HNF4A_full_2.JOLMA	21.289524	1.637656	13	1.669000	1.481000	1.005000	1.504000
HNF4A_full_3.JOLMA	20.773926	1.384928	15	1.721000	1.694000	0.998000	1.701000
HNF4A_full_4.JOLMA	20.469538	1.462110	14	1.692000	1.606000	1.003000	1.616000
Hnf4a_DBD.JOLMA	21.275946	1.418396	15	1.703000	1.652000	0.999000	1.658000
hnf4.MacIsaac	9.488705	1.355529	7	1.208000	1.223000	1.002000	1.224000
hnf4_1.MacIsaac	11.211566	0.862428	13	1.042000	1.021000	0.999000	1.020000
hnf4_2.MacIsaac	14.049867	1.003562	14	1.055000	1.008000	0.991000	1.013000
hnf4_3.MacIsaac	17.623317	1.258808	14	1.115000	1.078000	1.002000	1.074000
hnf4_4.MacIsaac	15.120919	1.374629	11	1.032000	1.022000	1.005000	1.019000
hnf4_5.MacIsaac	13.201769	1.320177	10	1.325000	1.362000	1.000000	1.369000
hnf4_6.MacIsaac	15.229971	1.015331	15	0.986000	0.996000	1.001000	0.985000
hnf4_7.MacIsaac	18.867573	1.451352	13	1.515000	1.401000	1.001000	1.412000
UP00066_1.UNIPROBE	12.442590	0.777662	16	1.105000	1.226000	1.000000	1.232000
UP00066_2.UNIPROBE	14.032859	0.935524	15	1.612000	1.689000	0.997000	1.691000
UP00066.1.ZHAO2011	19.990326	1.052122	19	1.014000	1.019000	1.005000	1.012000
UP00066.2.ZHAO2011	13.391269	0.743959	18	0.970000	0.954000	0.999000	0.949000
Hnf4a_1.3DFOOTPRINT	4.955005	1.238751	4	1.085000	1.118000	1.004000	1.114000
Hnf4a_2.3DFOOTPRINT	14.821897	1.347445	11	1.350000	1.341000	1.004000	1.341000
Hnf4a_3.3DFOOTPRINT	10.133151	1.013315	10	1.074000	1.052000	1.004000	1.052000
Hnf4a_4.3DFOOTPRINT	3.975915	0.993979	4	1.043000	1.041000	1.004000	1.044000
Hnf4a_5.3DFOOTPRINT	15.033036	1.366640	11	1.230000	1.093000	1.002000	1.084000
HNF4A_1.GUERTIN	12.178543	0.811903	15	1.819000	1.865000	0.997000	1.865000
HNF4A_2.GUERTIN	15.363877	1.024258	15	0.999000	1.027000	0.997000	1.030000
HNF4A_3.GUERTIN	23.163208	1.544214	15	1.133000	1.074000	1.001000	1.060000
HNF4A_4.GUERTIN	12.706169	0.668746	19	1.051000	1.131000	1.003000	1.133000
HNF4.1_1.ZLAB	12.463622	0.958740	13	1.796000	1.864000	1.003000	1.865000
HNF4.1_2.ZLAB	11.374301	1.624900	7	1.062000	1.192000	1.001000	1.195000
HNF4.1_3.ZLAB	11.036943	1.103694	10	1.501000	1.505000	1.019000	1.504000
HNF4.1_4.ZLAB	12.689349	1.268935	10	0.991000	1.122000	1.003000	1.129000
HNF4.1_5.ZLAB	13.083259	1.308326	10	0.958000	1.077000	1.004000	1.086000
Hnf4a.TF2DNA	8.738937	1.248420	7	1.245000	1.305000	1.003000	1.307000
HNF4A.SWISSREGULON	11.532266	0.887097	13	1.689000	1.690000	1.001000	1.691000
M4698_1.02.CIS-BP	13.573942	0.969567	14	1.818000	1.839000	1.003000	1.841000
