Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc
MA0496.1.JASPAR	13.586347	0.970453	14	0.969000	0.953000	0.501000	0.954000
MAFK_si.HOCOMOCO	15.601721	1.733525	9	0.847000	0.771000	0.501000	0.775000
MafK.HOMER	11.032398	1.002945	11	0.889000	0.891000	0.500000	0.892000
MAFK_DBD_1.JOLMA	11.449495	1.040863	11	0.952000	0.959000	0.500000	0.959000
MAFK_DBD_2.JOLMA	12.622303	0.631115	20	0.948000	0.784000	0.501000	0.753000
MAFK_full_1.JOLMA	11.088858	1.008078	11	0.952000	0.959000	0.500000	0.958000
MAFK_full_2.JOLMA	13.511280	0.965091	14	0.933000	0.922000	0.504000	0.922000
UP00044_1.UNIPROBE	12.475517	0.891108	14	0.936000	0.938000	0.500000	0.938000
UP00044_2.UNIPROBE	10.458653	0.747047	14	0.507000	0.503000	0.500000	0.503000
UP00044.1.ZHAO2011	20.130101	0.745559	27	0.506000	0.500000	0.514000	0.500000
UP00044.2.ZHAO2011	17.338345	0.753841	23	0.526000	0.500000	0.512000	0.500000
MAFK_1.GUERTIN	12.771685	0.672194	19	0.974000	0.879000	0.500000	0.818000
MAFK_2.GUERTIN	15.168479	1.011232	15	0.504000	0.516000	0.504000	0.513000
MAFK_3.GUERTIN	12.881564	0.858771	15	0.510000	0.524000	0.496000	0.515000
MAFK_4.GUERTIN	18.495201	1.233013	15	0.523000	0.520000	0.502000	0.517000
Mafk.TF2DNA	9.950419	1.421488	7	0.606000	0.648000	0.499000	0.648000
M2296_1.02.CIS-BP	13.586347	0.970453	14	0.969000	0.953000	0.501000	0.954000
