Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc
MA0496.1.JASPAR	13.586347	0.970453	14	1.926000	1.925000	1.006000	1.925000
MAFK_si.HOCOMOCO	15.601721	1.733525	9	1.606000	1.671000	1.005000	1.669000
MafK.HOMER	11.032398	1.002945	11	1.705000	1.837000	1.003000	1.838000
MAFK_DBD_1.JOLMA	11.449495	1.040863	11	1.901000	1.911000	1.004000	1.911000
MAFK_DBD_2.JOLMA	12.622303	0.631115	20	1.847000	1.915000	1.003000	1.915000
MAFK_full_1.JOLMA	11.088858	1.008078	11	1.901000	1.907000	1.001000	1.907000
MAFK_full_2.JOLMA	13.511280	0.965091	14	1.800000	1.884000	1.007000	1.885000
UP00044_1.UNIPROBE	12.475517	0.891108	14	1.860000	1.876000	1.002000	1.877000
UP00044_2.UNIPROBE	10.458653	0.747047	14	1.029000	1.020000	1.001000	1.021000
UP00044.1.ZHAO2011	20.130101	0.745559	27	1.019000	1.063000	1.047000	1.043000
UP00044.2.ZHAO2011	17.338345	0.753841	23	1.053000	1.021000	1.018000	1.009000
MAFK_1.GUERTIN	12.771685	0.672194	19	1.927000	1.958000	1.002000	1.959000
MAFK_2.GUERTIN	15.168479	1.011232	15	0.998000	1.059000	1.014000	1.062000
MAFK_3.GUERTIN	12.881564	0.858771	15	0.996000	1.065000	1.000000	1.056000
MAFK_4.GUERTIN	18.495201	1.233013	15	1.050000	1.067000	1.004000	1.064000
Mafk.TF2DNA	9.950419	1.421488	7	1.170000	1.236000	1.003000	1.238000
M2296_1.02.CIS-BP	13.586347	0.970453	14	1.926000	1.925000	1.006000	1.925000
