Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc
MA0058.2.JASPAR	12.567761	1.396418	9	0.823000	0.848000	0.504000	0.849000
MAX_f1.HOCOMOCO	11.611340	1.161134	10	0.889000	0.897000	0.505000	0.897000
Max.HOMER	11.292923	1.026629	11	0.894000	0.886000	0.506000	0.889000
MAX_DBD_1.JOLMA	18.770986	1.173187	16	0.738000	0.582000	0.501000	0.552000
MAX_DBD_2.JOLMA	11.221762	1.246862	9	0.889000	0.900000	0.503000	0.901000
UP00060_1.UNIPROBE	12.002915	0.800194	15	0.874000	0.875000	0.506000	0.864000
UP00060_2.UNIPROBE	9.202370	0.707875	13	0.690000	0.729000	0.502000	0.730000
UP00060.1.ZHAO2011	28.277967	0.975102	29	0.592000	0.500000	0.491000	0.500000
UP00060.2.ZHAO2011	19.504618	1.083590	18	0.614000	0.506000	0.521000	0.504000
UP00060.3.ZHAO2011	19.484570	1.082476	18	0.610000	0.506000	0.520000	0.505000
UP00060.4.ZHAO2011	21.389545	1.188308	18	0.662000	0.507000	0.520000	0.505000
Max_1.3DFOOTPRINT	3.343170	1.114390	3	0.500000	0.500000	0.500000	0.500000
Max_2.3DFOOTPRINT	13.202047	1.886007	7	0.858000	0.836000	0.501000	0.837000
Max_3.3DFOOTPRINT	6.748370	1.687093	4	0.503000	0.578000	0.500000	0.572000
Max_1.GUERTIN	11.785069	1.071370	11	0.887000	0.888000	0.496000	0.888000
Max_2.GUERTIN	14.489842	1.034989	14	0.535000	0.536000	0.496000	0.534000
Max_3.GUERTIN	20.539586	1.081031	19	0.486000	0.503000	0.504000	0.503000
Max_4.GUERTIN	16.633578	1.512143	11	0.577000	0.594000	0.498000	0.599000
MAX.1_1.ZLAB	13.242696	1.018669	13	0.891000	0.886000	0.505000	0.885000
MAX.1_2.ZLAB	13.712123	1.371212	10	0.852000	0.803000	0.505000	0.807000
MAX.1_3.ZLAB	13.093420	1.870489	7	0.591000	0.571000	0.500000	0.571000
MAX.1_4.ZLAB	17.884395	1.277457	14	0.555000	0.530000	0.503000	0.533000
MAX.1_5.ZLAB	14.447444	0.722372	20	0.551000	0.505000	0.500000	0.503000
Max.TF2DNA	8.465501	1.209357	7	0.469000	0.498000	0.498000	0.498000
M1889_1.02.CIS-BP	12.567761	1.396418	9	0.823000	0.848000	0.504000	0.849000
