Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc
MA0058.2.JASPAR	12.567761	1.396418	9	1.606000	1.682000	1.014000	1.684000
MAX_f1.HOCOMOCO	11.611340	1.161134	10	1.713000	1.819000	1.015000	1.820000
Max.HOMER	11.292923	1.026629	11	1.714000	1.806000	1.020000	1.809000
MAX_DBD_1.JOLMA	18.770986	1.173187	16	1.447000	1.329000	1.008000	1.307000
MAX_DBD_2.JOLMA	11.221762	1.246862	9	1.714000	1.815000	1.008000	1.817000
UP00060_1.UNIPROBE	12.002915	0.800194	15	1.678000	1.779000	1.019000	1.781000
UP00060_2.UNIPROBE	9.202370	0.707875	13	1.332000	1.476000	1.012000	1.477000
UP00060.1.ZHAO2011	28.277967	0.975102	29	1.148000	1.153000	0.995000	1.052000
UP00060.2.ZHAO2011	19.504618	1.083590	18	1.198000	1.074000	1.050000	1.034000
UP00060.3.ZHAO2011	19.484570	1.082476	18	1.188000	1.074000	1.052000	1.036000
UP00060.4.ZHAO2011	21.389545	1.188308	18	1.288000	1.090000	1.052000	1.040000
Max_1.3DFOOTPRINT	3.343170	1.114390	3	1.002000	1.004000	1.005000	1.003000
Max_2.3DFOOTPRINT	13.202047	1.886007	7	1.638000	1.731000	1.006000	1.729000
Max_3.3DFOOTPRINT	6.748370	1.687093	4	1.009000	1.128000	1.001000	1.120000
Max_1.GUERTIN	11.785069	1.071370	11	1.700000	1.809000	1.000000	1.810000
Max_2.GUERTIN	14.489842	1.034989	14	1.054000	1.103000	1.002000	1.103000
Max_3.GUERTIN	20.539586	1.081031	19	0.965000	1.060000	1.012000	1.049000
Max_4.GUERTIN	16.633578	1.512143	11	1.090000	1.268000	1.002000	1.272000
MAX.1_1.ZLAB	13.242696	1.018669	13	1.711000	1.812000	1.016000	1.813000
MAX.1_2.ZLAB	13.712123	1.371212	10	1.639000	1.697000	1.017000	1.701000
MAX.1_3.ZLAB	13.093420	1.870489	7	1.119000	1.207000	1.003000	1.202000
MAX.1_4.ZLAB	17.884395	1.277457	14	1.080000	1.120000	1.036000	1.123000
MAX.1_5.ZLAB	14.447444	0.722372	20	1.087000	1.120000	1.006000	1.115000
Max.TF2DNA	8.465501	1.209357	7	0.981000	0.972000	1.001000	0.973000
M1889_1.02.CIS-BP	12.567761	1.396418	9	1.606000	1.682000	1.014000	1.684000
