Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc
MA0052.2.JASPAR	14.853724	1.060980	14	0.904000	0.905000	0.503000	0.906000
MEF2A_f1.HOCOMOCO	14.858516	1.142963	13	0.873000	0.826000	0.503000	0.829000
Mef2a.HOMER	9.863657	1.095962	9	0.859000	0.869000	0.503000	0.868000
MEF2_disc1.POUR	12.917400	0.922671	14	0.913000	0.910000	0.504000	0.910000
MEF2_disc2.POUR	13.501378	1.687672	8	0.570000	0.567000	0.483000	0.557000
MEF2A_DBD.JOLMA	16.859129	1.532648	11	0.858000	0.814000	0.503000	0.820000
MEF2A_1.3DFOOTPRINT	13.385995	0.892400	15	0.639000	0.553000	0.503000	0.556000
MEF2A.3DFOOTPRINT	4.642059	0.928412	5	0.504000	0.497000	0.501000	0.497000
MEF2A_3.3DFOOTPRINT	5.278835	0.586537	9	0.512000	0.576000	0.501000	0.577000
MEF2A_4.3DFOOTPRINT	5.278835	0.586537	9	0.557000	0.559000	0.500000	0.559000
MEF2A_5.3DFOOTPRINT	6.372364	0.708040	9	0.626000	0.646000	0.501000	0.647000
MEF2A_6.3DFOOTPRINT	3.963634	0.495454	8	0.522000	0.553000	0.513000	0.554000
MEF2A_7.3DFOOTPRINT	6.702648	0.744739	9	0.617000	0.622000	0.500000	0.623000
MEF2A_8.3DFOOTPRINT	5.918252	0.657584	9	0.649000	0.613000	0.501000	0.613000
MEF2A_1.GUERTIN	13.730919	0.915395	15	0.914000	0.913000	0.503000	0.910000
MEF2A_2.GUERTIN	14.264033	1.783004	8	0.602000	0.570000	0.500000	0.562000
MEF2A_3.GUERTIN	12.016837	0.632465	19	0.568000	0.524000	0.502000	0.515000
MEF2A_4.GUERTIN	22.650934	1.192154	19	0.563000	0.504000	0.493000	0.504000
MEF2.1_1.ZLAB	12.725681	0.908977	14	0.912000	0.920000	0.503000	0.918000
MEF2.1_2.ZLAB	12.540041	1.254004	10	0.571000	0.594000	0.496000	0.596000
MEF2.1_3.ZLAB	13.604462	1.943495	7	0.587000	0.566000	0.495000	0.563000
MEF2.1_4.ZLAB	13.280058	0.664003	20	0.551000	0.515000	0.495000	0.508000
MEF2.1_5.ZLAB	12.290001	1.755714	7	0.584000	0.548000	0.496000	0.560000
Mef2a.TF2DNA	8.494166	1.213452	7	0.603000	0.580000	0.503000	0.580000
MEF2A.SWISSREGULON	14.711915	1.634657	9	0.794000	0.794000	0.505000	0.796000
M1884_1.02.CIS-BP	14.853724	1.060980	14	0.904000	0.905000	0.503000	0.906000
