Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc
MA0052.2.JASPAR	14.853724	1.060980	14	1.754000	1.857000	1.010000	1.858000
MEF2A_f1.HOCOMOCO	14.858516	1.142963	13	1.669000	1.746000	1.010000	1.746000
Mef2a.HOMER	9.863657	1.095962	9	1.668000	1.734000	1.010000	1.734000
MEF2_disc1.POUR	12.917400	0.922671	14	1.775000	1.853000	1.011000	1.852000
MEF2_disc2.POUR	13.501378	1.687672	8	1.108000	1.164000	1.010000	1.155000
MEF2A_DBD.JOLMA	16.859129	1.532648	11	1.649000	1.708000	1.011000	1.718000
MEF2A_1.3DFOOTPRINT	13.385995	0.892400	15	1.175000	1.186000	0.999000	1.193000
MEF2A.3DFOOTPRINT	4.642059	0.928412	5	1.002000	0.981000	1.005000	0.982000
MEF2A_3.3DFOOTPRINT	5.278835	0.586537	9	1.028000	1.135000	1.006000	1.136000
MEF2A_4.3DFOOTPRINT	5.278835	0.586537	9	1.113000	1.100000	1.002000	1.100000
MEF2A_5.3DFOOTPRINT	6.372364	0.708040	9	1.208000	1.253000	1.009000	1.254000
MEF2A_6.3DFOOTPRINT	3.963634	0.495454	8	1.050000	1.077000	1.054000	1.077000
MEF2A_7.3DFOOTPRINT	6.702648	0.744739	9	1.184000	1.212000	1.004000	1.213000
MEF2A_8.3DFOOTPRINT	5.918252	0.657584	9	1.213000	1.190000	1.003000	1.191000
MEF2A_1.GUERTIN	13.730919	0.915395	15	1.772000	1.872000	1.007000	1.872000
MEF2A_2.GUERTIN	14.264033	1.783004	8	1.110000	1.238000	1.001000	1.220000
MEF2A_3.GUERTIN	12.016837	0.632465	19	1.079000	1.194000	1.009000	1.197000
MEF2A_4.GUERTIN	22.650934	1.192154	19	1.115000	1.078000	0.996000	1.089000
MEF2.1_1.ZLAB	12.725681	0.908977	14	1.777000	1.865000	1.008000	1.865000
MEF2.1_2.ZLAB	12.540041	1.254004	10	1.097000	1.188000	1.001000	1.190000
MEF2.1_3.ZLAB	13.604462	1.943495	7	1.102000	1.203000	0.997000	1.183000
MEF2.1_4.ZLAB	13.280058	0.664003	20	1.060000	1.151000	0.999000	1.155000
MEF2.1_5.ZLAB	12.290001	1.755714	7	1.119000	1.166000	1.003000	1.175000
Mef2a.TF2DNA	8.494166	1.213452	7	1.180000	1.103000	1.008000	1.102000
MEF2A.SWISSREGULON	14.711915	1.634657	9	1.521000	1.643000	1.013000	1.645000
M1884_1.02.CIS-BP	14.853724	1.060980	14	1.754000	1.857000	1.010000	1.858000
