Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc
MA0506.1.JASPAR	13.247275	1.324728	10	0.953000	0.949000	0.501000	0.949000
NF2L1_f1.HOCOMOCO	6.967349	1.161225	6	0.465000	0.470000	0.481000	0.470000
NRF1_f1.HOCOMOCO	10.919922	0.992720	11	0.967000	0.967000	0.502000	0.967000
NRF1.HOMER	15.671289	1.424663	11	0.970000	0.970000	0.504000	0.971000
NRF1_disc1.POUR	17.340430	1.238602	14	0.978000	0.971000	0.507000	0.972000
NRF1_disc2.POUR	11.689568	1.669938	7	0.518000	0.515000	0.504000	0.514000
NRF1_disc3.POUR	6.867497	0.763055	9	0.548000	0.578000	0.490000	0.579000
NRF1_full.JOLMA	17.065223	1.551384	11	0.970000	0.963000	0.505000	0.964000
NRF1_1.GUERTIN	13.875071	1.261370	11	0.962000	0.968000	0.505000	0.969000
NRF1_2.GUERTIN	9.146182	0.481378	19	0.516000	0.501000	0.497000	0.501000
NRF1_3.GUERTIN	14.997369	1.363397	11	0.593000	0.622000	0.496000	0.629000
NRF1_4.GUERTIN	26.763724	1.408617	19	0.655000	0.501000	0.493000	0.501000
NRF1.1_1.ZLAB	18.247762	1.303412	14	0.978000	0.973000	0.504000	0.974000
NRF1.1_2.ZLAB	15.131954	1.080854	14	0.971000	0.974000	0.507000	0.974000
NRF1.1_3.ZLAB	23.157046	1.157852	20	0.533000	0.519000	0.520000	0.518000
NRF1.1_4.ZLAB	13.705148	0.685257	20	0.616000	0.516000	0.506000	0.510000
NRF1.1_5.ZLAB	16.888352	1.206311	14	0.582000	0.561000	0.505000	0.564000
Nfe2l1.TF2DNA	6.881100	0.983014	7	0.462000	0.448000	0.501000	0.447000
NFE2L1.SWISSREGULON	9.266435	1.853287	5	0.453000	0.468000	0.498000	0.464000
NRF1.SWISSREGULON	14.583844	1.620427	9	0.937000	0.939000	0.501000	0.941000
M2305_1.02.CIS-BP	13.774541	1.377454	10	0.946000	0.946000	0.504000	0.946000
M6359_1.02.CIS-BP	6.916674	1.152779	6	0.465000	0.473000	0.481000	0.473000
