Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc
MA0506.1.JASPAR	13.247275	1.324728	10	1.898000	1.909000	1.005000	1.909000
NF2L1_f1.HOCOMOCO	6.967349	1.161225	6	0.935000	0.972000	0.977000	0.972000
NRF1_f1.HOCOMOCO	10.919922	0.992720	11	1.927000	1.933000	1.008000	1.933000
NRF1.HOMER	15.671289	1.424663	11	1.929000	1.941000	1.012000	1.941000
NRF1_disc1.POUR	17.340430	1.238602	14	1.941000	1.947000	1.017000	1.947000
NRF1_disc2.POUR	11.689568	1.669938	7	1.034000	1.029000	1.015000	1.026000
NRF1_disc3.POUR	6.867497	0.763055	9	1.094000	1.119000	0.997000	1.119000
NRF1_full.JOLMA	17.065223	1.551384	11	1.925000	1.929000	1.019000	1.931000
NRF1_1.GUERTIN	13.875071	1.261370	11	1.908000	1.941000	1.015000	1.942000
NRF1_2.GUERTIN	9.146182	0.481378	19	1.019000	1.082000	0.998000	1.080000
NRF1_3.GUERTIN	14.997369	1.363397	11	1.116000	1.340000	0.998000	1.348000
NRF1_4.GUERTIN	26.763724	1.408617	19	1.305000	1.011000	0.994000	0.996000
NRF1.1_1.ZLAB	18.247762	1.303412	14	1.941000	1.949000	1.011000	1.950000
NRF1.1_2.ZLAB	15.131954	1.080854	14	1.929000	1.948000	1.021000	1.948000
NRF1.1_3.ZLAB	23.157046	1.157852	20	1.033000	1.096000	1.066000	1.095000
NRF1.1_4.ZLAB	13.705148	0.685257	20	1.186000	1.218000	1.014000	1.214000
NRF1.1_5.ZLAB	16.888352	1.206311	14	1.083000	1.213000	1.016000	1.211000
Nfe2l1.TF2DNA	6.881100	0.983014	7	0.933000	0.948000	1.006000	0.947000
NFE2L1.SWISSREGULON	9.266435	1.853287	5	0.943000	0.974000	1.001000	0.973000
NRF1.SWISSREGULON	14.583844	1.620427	9	1.876000	1.871000	1.008000	1.874000
M2305_1.02.CIS-BP	13.774541	1.377454	10	1.876000	1.899000	1.014000	1.900000
M6359_1.02.CIS-BP	6.916674	1.152779	6	0.934000	0.975000	0.977000	0.975000
