Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc
MA0014.2.JASPAR	13.458053	0.747670	18	0.783000	0.652000	0.503000	0.634000
PAX5_f1.HOCOMOCO	10.661929	0.592329	18	0.788000	0.639000	0.501000	0.618000
PAX5_si.HOCOMOCO	9.364208	1.337744	7	0.555000	0.554000	0.499000	0.553000
PAX5_1.HOMER	12.623793	0.841586	15	0.752000	0.775000	0.501000	0.752000
PAX5_2.HOMER	13.317933	1.024456	13	0.574000	0.571000	0.502000	0.568000
PAX5_disc1.POUR	11.304981	0.628055	18	0.777000	0.632000	0.502000	0.603000
PAX5_disc2.POUR	10.805666	1.200630	9	0.653000	0.655000	0.501000	0.653000
PAX5_disc3.POUR	11.417550	1.268617	9	0.588000	0.588000	0.499000	0.587000
PAX5_disc4.POUR	11.800456	1.311162	9	0.612000	0.618000	0.500000	0.614000
PAX5_disc5.POUR	9.671598	1.074622	9	0.483000	0.495000	0.502000	0.495000
PAX5_DBD.JOLMA	14.115275	0.830310	17	0.786000	0.651000	0.502000	0.617000
Pax5_1.3DFOOTPRINT	11.308006	0.753867	15	0.540000	0.530000	0.500000	0.526000
Pax5_2.3DFOOTPRINT	12.972719	0.720707	18	0.500000	0.495000	0.498000	0.496000
PAX5_3.3DFOOTPRINT	15.280611	0.848923	18	0.515000	0.496000	0.500000	0.495000
PAX5_1.GUERTIN	26.502269	1.394856	19	0.608000	0.513000	0.498000	0.511000
PAX5_2.GUERTIN	18.584007	0.978106	19	0.541000	0.503000	0.501000	0.501000
PAX5_3.GUERTIN	17.992703	1.199514	15	0.548000	0.517000	0.499000	0.513000
PAX5_4.GUERTIN	23.377510	1.230395	19	0.490000	0.503000	0.499000	0.502000
PAX5.1_1.ZLAB	10.680445	0.712030	15	0.775000	0.797000	0.501000	0.794000
PAX5.1_2.ZLAB	14.874117	1.062437	14	0.595000	0.571000	0.501000	0.566000
PAX5.1_3.ZLAB	10.772889	0.538644	20	0.537000	0.504000	0.499000	0.503000
PAX5.1_4.ZLAB	23.919760	1.328876	18	0.498000	0.508000	0.500000	0.506000
PAX5.1_5.ZLAB	22.298200	0.796364	28	0.510000	0.500000	0.496000	0.500000
Pax5.TF2DNA	7.711651	0.963956	8	0.486000	0.483000	0.517000	0.484000
PAX5.SWISSREGULON	14.110860	0.742677	19	0.613000	0.535000	0.492000	0.533000
M4471_1.02.CIS-BP	11.380111	0.812865	14	0.771000	0.806000	0.502000	0.804000
