Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc
MA0014.2.JASPAR	13.458053	0.747670	18	1.480000	1.693000	1.009000	1.696000
PAX5_f1.HOCOMOCO	10.661929	0.592329	18	1.490000	1.683000	1.004000	1.685000
PAX5_si.HOCOMOCO	9.364208	1.337744	7	1.120000	1.072000	1.004000	1.071000
PAX5_1.HOMER	12.623793	0.841586	15	1.424000	1.642000	1.004000	1.643000
PAX5_2.HOMER	13.317933	1.024456	13	1.100000	1.205000	1.004000	1.207000
PAX5_disc1.POUR	11.304981	0.628055	18	1.488000	1.657000	1.005000	1.658000
PAX5_disc2.POUR	10.805666	1.200630	9	1.226000	1.392000	1.003000	1.391000
PAX5_disc3.POUR	11.417550	1.268617	9	1.118000	1.214000	1.001000	1.213000
PAX5_disc4.POUR	11.800456	1.311162	9	1.164000	1.272000	1.003000	1.267000
PAX5_disc5.POUR	9.671598	1.074622	9	0.986000	1.009000	1.005000	1.010000
PAX5_DBD.JOLMA	14.115275	0.830310	17	1.500000	1.669000	1.006000	1.672000
Pax5_1.3DFOOTPRINT	11.308006	0.753867	15	1.065000	1.086000	1.002000	1.086000
Pax5_2.3DFOOTPRINT	12.972719	0.720707	18	0.994000	0.991000	1.001000	0.989000
PAX5_3.3DFOOTPRINT	15.280611	0.848923	18	1.028000	1.005000	1.001000	0.998000
PAX5_1.GUERTIN	26.502269	1.394856	19	1.171000	1.111000	1.003000	1.104000
PAX5_2.GUERTIN	18.584007	0.978106	19	1.087000	1.071000	1.006000	1.064000
PAX5_3.GUERTIN	17.992703	1.199514	15	1.080000	1.043000	1.004000	1.040000
PAX5_4.GUERTIN	23.377510	1.230395	19	1.001000	1.063000	0.996000	1.059000
PAX5.1_1.ZLAB	10.680445	0.712030	15	1.457000	1.651000	1.004000	1.653000
PAX5.1_2.ZLAB	14.874117	1.062437	14	1.154000	1.196000	1.004000	1.195000
PAX5.1_3.ZLAB	10.772889	0.538644	20	1.054000	1.116000	0.999000	1.115000
PAX5.1_4.ZLAB	23.919760	1.328876	18	1.014000	1.074000	1.011000	1.049000
PAX5.1_5.ZLAB	22.298200	0.796364	28	1.017000	1.076000	0.998000	1.083000
Pax5.TF2DNA	7.711651	0.963956	8	0.971000	0.980000	1.032000	0.981000
PAX5.SWISSREGULON	14.110860	0.742677	19	1.183000	1.292000	0.992000	1.294000
M4471_1.02.CIS-BP	11.380111	0.812865	14	1.464000	1.663000	1.005000	1.663000
