Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc
MA0507.1.JASPAR	15.046107	1.253842	12	1.395000	1.734000	1.008000	1.740000
PO2F2_si.HOCOMOCO	13.968438	1.746055	8	1.374000	1.692000	1.003000	1.699000
Oct4_1.HOMER	14.640873	1.626764	9	1.396000	1.724000	1.005000	1.729000
POU2F2_disc1.POUR	8.239147	1.177021	7	1.334000	1.601000	1.004000	1.605000
POU2F2_disc2.POUR	7.485009	0.623751	12	1.091000	1.140000	1.001000	1.139000
POU2F2_DBD_1.JOLMA	10.440903	1.044090	10	1.379000	1.731000	1.007000	1.732000
POU2F2_DBD_2.JOLMA	8.806740	0.677442	13	1.330000	1.542000	1.006000	1.542000
Pou2f2_DBD_1.JOLMA	15.903738	1.223364	13	1.316000	1.491000	1.005000	1.498000
Pou2f2_DBD_2.JOLMA	12.789546	1.598693	8	1.387000	1.682000	1.004000	1.684000
UP00191_1.UNIPROBE	14.252469	0.950165	15	1.382000	1.725000	1.008000	1.726000
UP00191.1.ZHAO2011	16.116708	1.074447	15	1.045000	0.985000	1.008000	0.996000
OCT2_1.GUERTIN	23.416594	1.232452	19	1.078000	1.027000	1.004000	1.034000
OCT2_2.GUERTIN	30.588115	1.609901	19	1.049000	1.026000	1.000000	1.008000
OCT2_3.GUERTIN	19.686930	1.312462	15	1.035000	1.016000	1.006000	1.021000
OCT2_4.GUERTIN	29.197792	1.536726	19	1.132000	1.011000	1.010000	1.007000
POU2F2.1_1.ZLAB	13.618449	1.134871	12	1.396000	1.766000	1.006000	1.770000
POU2F2.1_2.ZLAB	12.468210	1.246821	10	1.109000	1.208000	1.006000	1.210000
POU2F2.1_3.ZLAB	49.135607	1.694331	29	1.019000	1.064000	1.018000	1.012000
POU2F2.1_4.ZLAB	15.907746	1.223673	13	1.066000	1.102000	0.978000	1.089000
POU2F2.1_5.ZLAB	26.593414	1.329671	20	1.022000	1.050000	0.999000	1.069000
Pou2f2.TF2DNA	9.817302	1.227163	8	1.193000	1.209000	1.004000	1.211000
POU2F2.SWISSREGULON	17.521546	1.460129	12	1.385000	1.634000	1.008000	1.638000
M2306_1.02.CIS-BP	15.046107	1.253842	12	1.395000	1.734000	1.008000	1.740000
