Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc
MA0508.1.JASPAR	15.090091	1.077864	14	0.953000	0.958000	0.503000	0.957000
PRDM1_f1.HOCOMOCO	16.743546	1.287965	13	0.946000	0.943000	0.503000	0.942000
PRDM1.HOMER	10.658050	0.968914	11	0.923000	0.935000	0.499000	0.936000
PRDM1_disc1.POUR	16.162339	1.795815	9	0.925000	0.815000	0.499000	0.815000
PRDM1_disc2.POUR	13.465282	1.496142	9	0.607000	0.592000	0.499000	0.608000
PRDM1_full.JOLMA	18.343790	1.310271	14	0.941000	0.934000	0.502000	0.933000
PRDM1_1.GUERTIN	13.773436	1.059495	13	0.959000	0.964000	0.482000	0.963000
PRDM1_2.GUERTIN	13.503885	1.687986	8	0.584000	0.587000	0.500000	0.596000
PRDM1_3.GUERTIN	12.024694	0.632879	19	0.566000	0.514000	0.497000	0.511000
PRDM1_4.GUERTIN	20.256239	1.446874	14	0.551000	0.512000	0.497000	0.502000
PRDM1.1_1.ZLAB	15.108326	1.079166	14	0.959000	0.968000	0.498000	0.968000
PRDM1.1_2.ZLAB	11.951655	1.707379	7	0.582000	0.604000	0.501000	0.599000
PRDM1.1_3.ZLAB	12.437253	0.888375	14	0.569000	0.586000	0.502000	0.584000
PRDM1.1_4.ZLAB	46.821053	1.734113	27	0.494000	0.503000	0.502000	0.503000
PRDM1.1_5.ZLAB	37.770137	1.398894	27	0.465000	0.500000	0.505000	0.500000
Prdm1.TF2DNA	8.758482	1.094810	8	0.671000	0.669000	0.500000	0.669000
PRDM1.SWISSREGULON	18.678344	1.698031	11	0.947000	0.928000	0.502000	0.933000
M2307_1.02.CIS-BP	15.090091	1.077864	14	0.953000	0.958000	0.503000	0.957000
