Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc
MA0079.3.JASPAR	13.096323	1.309632	10	0.604000	0.633000	0.502000	0.632000
SP1_f1.HOCOMOCO	11.772443	1.177244	10	0.601000	0.613000	0.499000	0.614000
SP1_f2.HOCOMOCO	13.383811	0.743545	18	0.605000	0.581000	0.496000	0.554000
Sp1.HOMER	16.500711	1.500065	11	0.596000	0.628000	0.498000	0.631000
SP1_disc1.POUR	13.856668	0.659841	21	0.772000	0.534000	0.496000	0.518000
SP1_disc2.POUR	11.029667	1.575667	7	0.492000	0.508000	0.499000	0.507000
SP1_disc3.POUR	13.866040	0.990431	14	0.599000	0.574000	0.505000	0.577000
SP1_DBD.JOLMA	10.780787	1.078079	10	0.597000	0.617000	0.485000	0.617000
SP1_1.GUERTIN	12.056226	1.096021	11	0.757000	0.780000	0.510000	0.781000
SP1_2.GUERTIN	12.657366	1.150670	11	0.609000	0.636000	0.494000	0.637000
SP1_3.GUERTIN	18.449794	1.677254	11	0.499000	0.516000	0.505000	0.516000
SP1_4.GUERTIN	17.058068	1.550733	11	0.548000	0.504000	0.500000	0.497000
SP1.2_1.ZLAB	12.640193	1.053349	12	0.762000	0.785000	0.504000	0.788000
SP1.2_2.ZLAB	13.443877	0.960277	14	0.621000	0.653000	0.490000	0.659000
SP1.2_3.ZLAB	10.877278	1.553897	7	0.735000	0.747000	0.502000	0.748000
SP1.2_4.ZLAB	20.434052	0.756817	27	0.537000	0.502000	0.498000	0.501000
SP1.2_5.ZLAB	18.787443	0.695831	27	0.705000	0.500000	0.495000	0.500000
Sp1.TF2DNA	7.464976	1.244163	6	0.526000	0.504000	0.499000	0.503000
SP1.SWISSREGULON	13.774373	1.059567	13	0.607000	0.640000	0.492000	0.642000
M1906_1.02.CIS-BP	12.876953	1.287695	10	0.605000	0.620000	0.495000	0.623000
